id,keypoint detector,descriptor extractor,matcher type,descriptor type,selector type,cumulated sum of keypoints,cumulated sum of keypoints in ROI,cumulated sum of keypoints in ROI (limited),cumulated sum of matched keypoints in ROI,t_detKeypoints_avg - average time for keypoint detection (all keypoints) in [s],t_descKeypoints_avg - average time for descriptor extraction (only ROI) in [s],t_detKeypoints_avg + t_descKeypoints_avg [s],t_matchDescriptors_avg - average time for descriptor matching (only ROI) in [s[,t_detKeypoints_avg + t_descKeypoints_avg + t_matchDescriptors_avg in [s],
1,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,13423,1179,1179,767,0.00992294,0.0011668,0.0110897,0.000236375,0.0113261,
2,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,13423,1179,1179,944,0.0101598,0.000671191,0.010831,0.00018246,0.0110135,
3,SHITOMASI,ORB,MAT_BF,DES_BINARY,SEL_KNN,13423,1179,1179,908,0.0111797,0.00088047,0.0120601,0.000188698,0.0122488,
4,SHITOMASI,FREAK,MAT_BF,DES_BINARY,SEL_KNN,13423,1179,1179,768,0.00932816,0.0289397,0.0382678,0.000232027,0.0384999,
5,SHITOMASI,KAZE,MAT_BF,DES_HOG,SEL_KNN,13423,1179,1179,0,0.00892846,0,0.00892846,0,0.00892846,
6,SHITOMASI,AKAZE,MAT_BF,DES_BINARY,SEL_KNN,13423,1179,1179,0,0.00900204,0,0.00900204,0,0.00900204,
7,SHITOMASI,SIFT,MAT_BF,DES_HOG,SEL_KNN,13423,1179,1179,927,0.00904322,0.0128401,0.0218834,0.000118781,0.0220021,
8,SHITOMASI,SURF,MAT_BF,DES_HOG,SEL_KNN,13423,1179,1179,496,0.00925512,0.00837263,0.0176278,7.98351e-05,0.0177076,
9,HARRIS,BRISK,MAT_BF,DES_BINARY,SEL_KNN,1737,248,248,142,0.0110322,0.000383484,0.0114157,0.00010867,0.0115244,
10,HARRIS,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,1737,248,248,173,0.0108038,0.000249165,0.011053,0.000105167,0.0111582,
