imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,AKAZE,1351,0.045745,1,166,0,166,0.00704732,7.72917,15.3807,AKAZE,0.0287379,0.0744829,,,,0,0,0.0744829,
0001.png,AKAZE,1327,0.0456293,1,157,0,157,0.00697579,7.4902,12.4226,AKAZE,0.0335323,0.0791616,MAT_BF,DES_BINARY,SEL_KNN,138,0.000321684,0.0794833,
0002.png,AKAZE,1311,0.0472872,1,161,0,161,0.00681076,7.45211,12.6221,AKAZE,0.0398876,0.0871748,MAT_BF,DES_BINARY,SEL_KNN,138,0.000334962,0.0875097,
0003.png,AKAZE,1351,0.0429093,1,155,0,155,0.00707634,7.57522,11.9644,AKAZE,0.0300291,0.0729384,MAT_BF,DES_BINARY,SEL_KNN,133,0.00019003,0.0731285,
0004.png,AKAZE,1360,0.0433904,1,163,0,163,0.00671328,7.73319,11.8184,AKAZE,0.0291879,0.0725783,MAT_BF,DES_BINARY,SEL_KNN,127,0.000199808,0.0727781,
0005.png,AKAZE,1347,0.0463303,1,164,0,164,0.00666053,7.68803,11.4138,AKAZE,0.0330907,0.079421,MAT_BF,DES_BINARY,SEL_KNN,129,0.000284798,0.0797058,
0006.png,AKAZE,1363,0.0415606,1,173,0,173,0.00681286,7.73878,11.7812,AKAZE,0.029975,0.0715355,MAT_BF,DES_BINARY,SEL_KNN,146,0.000207056,0.0717426,
0007.png,AKAZE,1331,0.0417811,1,175,0,175,0.00712348,7.82612,12.3183,AKAZE,0.0283871,0.0701682,MAT_BF,DES_BINARY,SEL_KNN,147,0.000218371,0.0703865,
0008.png,AKAZE,1357,0.0385507,1,177,0,177,0.00688306,7.81555,12.2047,AKAZE,0.0309588,0.0695095,MAT_BF,DES_BINARY,SEL_KNN,151,0.0002276,0.0697371,
0009.png,AKAZE,1331,0.0461211,1,179,0,179,0.00704988,7.88575,12.9699,AKAZE,0.0302077,0.0763288,MAT_BF,DES_BINARY,SEL_KNN,150,0.000237574,0.0765664,
cumulated sum,,13429,,,1670,,1670,,,,,,,,,,1259,,,
average values,,,0.0439305,,,,,0.00691533,7.69341,12.4896,,0.0313994,0.0753299,,,,,0.000222188,0.0755521,
