imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,AKAZE,1351,0.0434687,1,166,0,166,0.00704732,7.72917,15.3807,BRIEF,0.000618532,0.0440872,,,,0,0,0.0440872,
0001.png,AKAZE,1327,0.045535,1,157,0,157,0.00697579,7.4902,12.4226,BRIEF,0.000751679,0.0462867,MAT_BF,DES_BINARY,SEL_KNN,141,0.00147137,0.0477581,
0002.png,AKAZE,1311,0.0476327,1,161,0,161,0.00681076,7.45211,12.6221,BRIEF,0.000573106,0.0482058,MAT_BF,DES_BINARY,SEL_KNN,134,0.000287901,0.0484937,
0003.png,AKAZE,1351,0.0440489,1,155,0,155,0.00707634,7.57522,11.9644,BRIEF,0.000625493,0.0446744,MAT_BF,DES_BINARY,SEL_KNN,131,0.000231701,0.0449061,
0004.png,AKAZE,1360,0.0479247,1,163,0,163,0.00671328,7.73319,11.8184,BRIEF,0.000630571,0.0485553,MAT_BF,DES_BINARY,SEL_KNN,130,0.000334035,0.0488893,
0005.png,AKAZE,1347,0.0461423,1,164,0,164,0.00666053,7.68803,11.4138,BRIEF,0.00074563,0.0468879,MAT_BF,DES_BINARY,SEL_KNN,134,0.000323103,0.047211,
0006.png,AKAZE,1363,0.0404514,1,173,0,173,0.00681286,7.73878,11.7812,BRIEF,0.000620467,0.0410719,MAT_BF,DES_BINARY,SEL_KNN,146,0.000256778,0.0413287,
0007.png,AKAZE,1331,0.0450301,1,175,0,175,0.00712348,7.82612,12.3183,BRIEF,0.00064584,0.045676,MAT_BF,DES_BINARY,SEL_KNN,150,0.00025122,0.0459272,
0008.png,AKAZE,1357,0.0462059,1,177,0,177,0.00688306,7.81555,12.2047,BRIEF,0.000642067,0.046848,MAT_BF,DES_BINARY,SEL_KNN,148,0.00034609,0.0471941,
0009.png,AKAZE,1331,0.043053,1,179,0,179,0.00704988,7.88575,12.9699,BRIEF,0.000683103,0.0437361,MAT_BF,DES_BINARY,SEL_KNN,152,0.000344088,0.0440802,
cumulated sum,,13429,,,1670,,1670,,,,,,,,,,1266,,,
average values,,,0.0449493,,,,,0.00691533,7.69341,12.4896,,0.000653649,0.0456029,,,,,0.000384629,0.0459876,
