imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,AKAZE,1351,0.0439011,1,166,0,166,0.00704732,7.72917,15.3807,BRISK,0.00156255,0.0454637,,,,0,0,0.0454637,
0001.png,AKAZE,1327,0.0454412,1,157,0,157,0.00697579,7.4902,12.4226,BRISK,0.00159944,0.0470407,MAT_BF,DES_BINARY,SEL_KNN,137,0.000333838,0.0473745,
0002.png,AKAZE,1311,0.0452129,1,161,0,161,0.00681076,7.45211,12.6221,BRISK,0.00144214,0.0466551,MAT_BF,DES_BINARY,SEL_KNN,125,0.000331006,0.0469861,
0003.png,AKAZE,1351,0.0429708,1,155,0,155,0.00707634,7.57522,11.9644,BRISK,0.00140202,0.0443728,MAT_BF,DES_BINARY,SEL_KNN,129,0.000279186,0.044652,
0004.png,AKAZE,1360,0.0459073,1,163,0,163,0.00671328,7.73319,11.8184,BRISK,0.00145979,0.0473671,MAT_BF,DES_BINARY,SEL_KNN,129,0.000256323,0.0476234,
0005.png,AKAZE,1347,0.0446173,1,164,0,164,0.00666053,7.68803,11.4138,BRISK,0.00147419,0.0460915,MAT_BF,DES_BINARY,SEL_KNN,131,0.000348873,0.0464404,
0006.png,AKAZE,1363,0.0434259,1,173,0,173,0.00681286,7.73878,11.7812,BRISK,0.00153921,0.0449652,MAT_BF,DES_BINARY,SEL_KNN,132,0.000313584,0.0452787,
0007.png,AKAZE,1331,0.0441591,1,175,0,175,0.00712348,7.82612,12.3183,BRISK,0.0016656,0.0458247,MAT_BF,DES_BINARY,SEL_KNN,142,0.000315981,0.0461407,
0008.png,AKAZE,1357,0.0443857,1,177,0,177,0.00688306,7.81555,12.2047,BRISK,0.00156472,0.0459504,MAT_BF,DES_BINARY,SEL_KNN,146,0.000312938,0.0462633,
0009.png,AKAZE,1331,0.0418353,1,179,0,179,0.00704988,7.88575,12.9699,BRISK,0.00168993,0.0435252,MAT_BF,DES_BINARY,SEL_KNN,144,0.000343411,0.0438687,
cumulated sum,,13429,,,1670,,1670,,,,,,,,,,1215,,,
average values,,,0.0441857,,,,,0.00691533,7.69341,12.4896,,0.00153996,0.0457256,,,,,0.000283514,0.0460091,
