imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,AKAZE,1351,0.0411303,1,166,0,166,0.00704732,7.72917,15.3807,FREAK,0.0273107,0.068441,,,,0,0,0.068441,
0001.png,AKAZE,1327,0.0455313,1,157,0,157,0.00697579,7.4902,12.4226,FREAK,0.0284892,0.0740205,MAT_BF,DES_BINARY,SEL_KNN,126,0.000289642,0.0743102,
0002.png,AKAZE,1311,0.0454873,1,161,0,161,0.00681076,7.45211,12.6221,FREAK,0.0299227,0.07541,MAT_BF,DES_BINARY,SEL_KNN,129,0.000436579,0.0758465,
0003.png,AKAZE,1351,0.0394004,1,155,0,155,0.00707634,7.57522,11.9644,FREAK,0.0273662,0.0667666,MAT_BF,DES_BINARY,SEL_KNN,127,0.000276538,0.0670432,
0004.png,AKAZE,1360,0.0452528,1,163,0,163,0.00671328,7.73319,11.8184,FREAK,0.0276158,0.0728687,MAT_BF,DES_BINARY,SEL_KNN,121,0.000322966,0.0731916,
0005.png,AKAZE,1347,0.0462816,1,164,0,164,0.00666053,7.68803,11.4138,FREAK,0.0282943,0.0745759,MAT_BF,DES_BINARY,SEL_KNN,122,0.000317762,0.0748937,
0006.png,AKAZE,1363,0.0401642,1,173,0,173,0.00681286,7.73878,11.7812,FREAK,0.0282871,0.0684513,MAT_BF,DES_BINARY,SEL_KNN,133,0.000306341,0.0687576,
0007.png,AKAZE,1331,0.0456324,1,175,0,175,0.00712348,7.82612,12.3183,FREAK,0.0273996,0.073032,MAT_BF,DES_BINARY,SEL_KNN,144,0.000307642,0.0733396,
0008.png,AKAZE,1357,0.046615,1,177,0,177,0.00688306,7.81555,12.2047,FREAK,0.0292199,0.0758348,MAT_BF,DES_BINARY,SEL_KNN,147,0.000298166,0.076133,
0009.png,AKAZE,1331,0.0411283,1,179,0,179,0.00704988,7.88575,12.9699,FREAK,0.0279006,0.0690289,MAT_BF,DES_BINARY,SEL_KNN,138,0.000329604,0.0693585,
cumulated sum,,13429,,,1670,,1670,,,,,,,,,,1187,,,
average values,,,0.0436624,,,,,0.00691533,7.69341,12.4896,,0.0281806,0.071843,,,,,0.000288524,0.0721315,
