imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,AKAZE,1351,0.0452974,1,166,0,166,0.00704732,7.72917,15.3807,KAZE,0.175307,0.220604,,,,0,0,0.220604,
0001.png,AKAZE,1327,0.0439529,1,157,0,157,0.00697579,7.4902,12.4226,KAZE,0.166654,0.210607,MAT_BF,DES_HOG,SEL_KNN,0,0.000188854,0.210796,
0002.png,AKAZE,1311,0.0426948,1,161,0,161,0.00681076,7.45211,12.6221,KAZE,0.164937,0.207632,MAT_BF,DES_HOG,SEL_KNN,0,0.000178307,0.20781,
0003.png,AKAZE,1351,0.0414301,1,155,0,155,0.00707634,7.57522,11.9644,KAZE,0.165465,0.206895,MAT_BF,DES_HOG,SEL_KNN,0,0.000200254,0.207095,
0004.png,AKAZE,1360,0.0420095,1,163,0,163,0.00671328,7.73319,11.8184,KAZE,0.166881,0.208891,MAT_BF,DES_HOG,SEL_KNN,0,0.000173556,0.209065,
0005.png,AKAZE,1347,0.04338,1,164,0,164,0.00666053,7.68803,11.4138,KAZE,0.165383,0.208763,MAT_BF,DES_HOG,SEL_KNN,0,0.000177224,0.20894,
0006.png,AKAZE,1363,0.0428464,1,173,0,173,0.00681286,7.73878,11.7812,KAZE,0.174843,0.217689,MAT_BF,DES_HOG,SEL_KNN,0,0.00019749,0.217887,
0007.png,AKAZE,1331,0.0453049,1,175,0,175,0.00712348,7.82612,12.3183,KAZE,0.175284,0.220589,MAT_BF,DES_HOG,SEL_KNN,0,0.000209005,0.220798,
0008.png,AKAZE,1357,0.0453309,1,177,0,177,0.00688306,7.81555,12.2047,KAZE,0.170487,0.215818,MAT_BF,DES_HOG,SEL_KNN,0,0.000193457,0.216011,
0009.png,AKAZE,1331,0.0471375,1,179,0,179,0.00704988,7.88575,12.9699,KAZE,0.179214,0.226351,MAT_BF,DES_HOG,SEL_KNN,0,0.0001942,0.226546,
cumulated sum,,13429,,,1670,,1670,,,,,,,,,,0,,,
average values,,,0.0439384,,,,,0.00691533,7.69341,12.4896,,0.170445,0.214384,,,,,0.000171235,0.214555,
