imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,AKAZE,1351,0.0448246,1,166,0,166,0.00704732,7.72917,15.3807,ORB,0.00233902,0.0471636,,,,0,0,0.0471636,
0001.png,AKAZE,1327,0.046864,1,157,0,157,0.00697579,7.4902,12.4226,ORB,0.00243538,0.0492994,MAT_BF,DES_BINARY,SEL_KNN,131,0.000274143,0.0495735,
0002.png,AKAZE,1311,0.0461326,1,161,0,161,0.00681076,7.45211,12.6221,ORB,0.00235097,0.0484835,MAT_BF,DES_BINARY,SEL_KNN,129,0.000270498,0.048754,
0003.png,AKAZE,1351,0.0440061,1,155,0,155,0.00707634,7.57522,11.9644,ORB,0.00229275,0.0462988,MAT_BF,DES_BINARY,SEL_KNN,127,0.000276416,0.0465752,
0004.png,AKAZE,1360,0.0453111,1,163,0,163,0.00671328,7.73319,11.8184,ORB,0.00238559,0.0476967,MAT_BF,DES_BINARY,SEL_KNN,117,0.000252956,0.0479496,
0005.png,AKAZE,1347,0.0476349,1,164,0,164,0.00666053,7.68803,11.4138,ORB,0.00225273,0.0498876,MAT_BF,DES_BINARY,SEL_KNN,130,0.000268209,0.0501558,
0006.png,AKAZE,1363,0.0430819,1,173,0,173,0.00681286,7.73878,11.7812,ORB,0.00231124,0.0453931,MAT_BF,DES_BINARY,SEL_KNN,131,0.000274115,0.0456673,
0007.png,AKAZE,1331,0.0467807,1,175,0,175,0.00712348,7.82612,12.3183,ORB,0.00237182,0.0491525,MAT_BF,DES_BINARY,SEL_KNN,137,0.000437658,0.0495902,
0008.png,AKAZE,1357,0.0467684,1,177,0,177,0.00688306,7.81555,12.2047,ORB,0.00264706,0.0494155,MAT_BF,DES_BINARY,SEL_KNN,135,0.000285373,0.0497009,
0009.png,AKAZE,1331,0.0459473,1,179,0,179,0.00704988,7.88575,12.9699,ORB,0.00226106,0.0482083,MAT_BF,DES_BINARY,SEL_KNN,145,0.000325128,0.0485335,
cumulated sum,,13429,,,1670,,1670,,,,,,,,,,1182,,,
average values,,,0.0457351,,,,,0.00691533,7.69341,12.4896,,0.00236476,0.0480999,,,,,0.00026645,0.0483664,
