imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,AKAZE,1351,0.0413616,1,166,0,166,0.00704732,7.72917,15.3807,SIFT,0.0176044,0.058966,,,,0,0,0.058966,
0001.png,AKAZE,1327,0.0438433,1,157,0,157,0.00697579,7.4902,12.4226,SIFT,0.0180906,0.0619339,MAT_BF,DES_HOG,SEL_KNN,134,0.000210134,0.062144,
0002.png,AKAZE,1311,0.0411304,1,161,0,161,0.00681076,7.45211,12.6221,SIFT,0.0178937,0.059024,MAT_BF,DES_HOG,SEL_KNN,134,0.000230977,0.059255,
0003.png,AKAZE,1351,0.0433848,1,155,0,155,0.00707634,7.57522,11.9644,SIFT,0.0174989,0.0608837,MAT_BF,DES_HOG,SEL_KNN,130,0.000234432,0.0611181,
0004.png,AKAZE,1360,0.0375079,1,163,0,163,0.00671328,7.73319,11.8184,SIFT,0.0170189,0.0545268,MAT_BF,DES_HOG,SEL_KNN,136,0.000229324,0.0547562,
0005.png,AKAZE,1347,0.0387266,1,164,0,164,0.00666053,7.68803,11.4138,SIFT,0.0173674,0.056094,MAT_BF,DES_HOG,SEL_KNN,137,0.000260975,0.056355,
0006.png,AKAZE,1363,0.0438756,1,173,0,173,0.00681286,7.73878,11.7812,SIFT,0.0170112,0.0608868,MAT_BF,DES_HOG,SEL_KNN,147,0.000241001,0.0611278,
0007.png,AKAZE,1331,0.0424175,1,175,0,175,0.00712348,7.82612,12.3183,SIFT,0.0175569,0.0599744,MAT_BF,DES_HOG,SEL_KNN,147,0.00032068,0.0602951,
0008.png,AKAZE,1357,0.0385097,1,177,0,177,0.00688306,7.81555,12.2047,SIFT,0.0193366,0.0578463,MAT_BF,DES_HOG,SEL_KNN,154,0.000261276,0.0581076,
0009.png,AKAZE,1331,0.0445117,1,179,0,179,0.00704988,7.88575,12.9699,SIFT,0.0173444,0.0618561,MAT_BF,DES_HOG,SEL_KNN,151,0.000290609,0.0621467,
cumulated sum,,13429,,,1670,,1670,,,,,,,,,,1270,,,
average values,,,0.0415269,,,,,0.00691533,7.69341,12.4896,,0.0176723,0.0591992,,,,,0.000227941,0.0594272,
