imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,AKAZE,1351,0.0451992,1,166,0,166,0.00704732,7.72917,15.3807,SURF,0.00141935,0.0466186,,,,0,0,0.0466186,
0001.png,AKAZE,1327,0.0458858,1,157,0,157,0.00697579,7.4902,12.4226,SURF,0.001291,0.0471768,MAT_BF,DES_HOG,SEL_KNN,114,0.000139416,0.0473163,
0002.png,AKAZE,1311,0.0465615,1,161,0,161,0.00681076,7.45211,12.6221,SURF,0.00136783,0.0479293,MAT_BF,DES_HOG,SEL_KNN,105,0.000155943,0.0480853,
0003.png,AKAZE,1351,0.0437128,1,155,0,155,0.00707634,7.57522,11.9644,SURF,0.00143038,0.0451432,MAT_BF,DES_HOG,SEL_KNN,117,0.000159996,0.0453032,
0004.png,AKAZE,1360,0.0482413,1,163,0,163,0.00671328,7.73319,11.8184,SURF,0.00135849,0.0495998,MAT_BF,DES_HOG,SEL_KNN,111,0.000145453,0.0497452,
0005.png,AKAZE,1347,0.0464689,1,164,0,164,0.00666053,7.68803,11.4138,SURF,0.00138074,0.0478497,MAT_BF,DES_HOG,SEL_KNN,108,0.000145331,0.047995,
0006.png,AKAZE,1363,0.043821,1,173,0,173,0.00681286,7.73878,11.7812,SURF,0.00189794,0.045719,MAT_BF,DES_HOG,SEL_KNN,124,0.000146106,0.0458651,
0007.png,AKAZE,1331,0.0442622,1,175,0,175,0.00712348,7.82612,12.3183,SURF,0.0016935,0.0459557,MAT_BF,DES_HOG,SEL_KNN,141,0.000221922,0.0461776,
0008.png,AKAZE,1357,0.0461889,1,177,0,177,0.00688306,7.81555,12.2047,SURF,0.0014768,0.0476657,MAT_BF,DES_HOG,SEL_KNN,134,0.000157378,0.0478231,
0009.png,AKAZE,1331,0.0431359,1,179,0,179,0.00704988,7.88575,12.9699,SURF,0.00191948,0.0450554,MAT_BF,DES_HOG,SEL_KNN,136,0.00016308,0.0452184,
cumulated sum,,13429,,,1670,,1670,,,,,,,,,,1090,,,
average values,,,0.0453478,,,,,0.00691533,7.69341,12.4896,,0.00152355,0.0468713,,,,,0.000143463,0.0470148,
