imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,BRISK,2757,0.0366313,1,264,0,264,85.9886,21.5488,212.502,AKAZE,0,0.0366313,,,,0,0,0.0366313,
0001.png,BRISK,2776,0.033735,1,282,0,282,82.9618,21.7852,212.127,AKAZE,0,0.033735,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.033735,
0002.png,BRISK,2742,0.0337765,1,282,0,282,82.9521,21.6897,192.763,AKAZE,0,0.0337765,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0337765,
0003.png,BRISK,2735,0.0337141,1,277,0,277,86.0364,20.3585,159.232,AKAZE,0,0.0337141,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0337141,
0004.png,BRISK,2756,0.0336103,1,297,0,297,81.0932,22.5919,220.713,AKAZE,0,0.0336103,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0336103,
0005.png,BRISK,2694,0.0334919,1,279,0,279,83.2429,22.9443,249.968,AKAZE,0,0.0334919,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0334919,
0006.png,BRISK,2715,0.0340298,1,289,0,289,82.062,21.8027,215.376,AKAZE,0,0.0340298,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0340298,
0007.png,BRISK,2627,0.0332839,1,272,0,272,84.8219,22.1476,226.011,AKAZE,0,0.0332839,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0332839,
0008.png,BRISK,2640,0.033625,1,267,0,267,88.8441,22.5822,229.971,AKAZE,0,0.033625,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.033625,
0009.png,BRISK,2672,0.033676,1,254,0,254,84.0078,22.0359,215.14,AKAZE,0,0.033676,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.033676,
cumulated sum,,27114,,,2763,,2763,,,,,,,,,,-9,,,
average values,,,0.0339574,,,,,84.2011,21.9487,213.38,,0,0.0339574,,,,,0,0.0339574,
