imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,BRISK,2757,0.0352838,1,264,0,264,85.9886,21.5488,212.502,BRIEF,0.000837404,0.0361212,,,,0,0,0.0361212,
0001.png,BRISK,2776,0.0338556,1,282,0,282,82.9618,21.7852,212.127,BRIEF,0.000960895,0.0348165,MAT_BF,DES_BINARY,SEL_KNN,178,0.000512324,0.0353288,
0002.png,BRISK,2742,0.0351531,1,282,0,282,82.9521,21.6897,192.763,BRIEF,0.000872705,0.0360258,MAT_BF,DES_BINARY,SEL_KNN,205,0.000541765,0.0365676,
0003.png,BRISK,2735,0.0340176,1,277,0,277,86.0364,20.3585,159.232,BRIEF,0.000796188,0.0348138,MAT_BF,DES_BINARY,SEL_KNN,185,0.000516567,0.0353304,
0004.png,BRISK,2756,0.0338343,1,297,0,297,81.0932,22.5919,220.713,BRIEF,0.000864368,0.0346986,MAT_BF,DES_BINARY,SEL_KNN,180,0.000555439,0.0352541,
0005.png,BRISK,2694,0.033652,1,279,0,279,83.2429,22.9443,249.968,BRIEF,0.000843013,0.034495,MAT_BF,DES_BINARY,SEL_KNN,182,0.000606294,0.0351013,
0006.png,BRISK,2715,0.0336624,1,289,0,289,82.062,21.8027,215.376,BRIEF,0.000872257,0.0345346,MAT_BF,DES_BINARY,SEL_KNN,196,0.000526673,0.0350613,
0007.png,BRISK,2627,0.0334787,1,272,0,272,84.8219,22.1476,226.011,BRIEF,0.000846723,0.0343254,MAT_BF,DES_BINARY,SEL_KNN,206,0.000550639,0.0348761,
0008.png,BRISK,2640,0.0331806,1,267,0,267,88.8441,22.5822,229.971,BRIEF,0.000859746,0.0340403,MAT_BF,DES_BINARY,SEL_KNN,189,0.000505693,0.034546,
0009.png,BRISK,2672,0.0339193,1,254,0,254,84.0078,22.0359,215.14,BRIEF,0.000749706,0.034669,MAT_BF,DES_BINARY,SEL_KNN,183,0.000470816,0.0351398,
cumulated sum,,27114,,,2763,,2763,,,,,,,,,,1704,,,
average values,,,0.0340037,,,,,84.2011,21.9487,213.38,,0.0008503,0.034854,,,,,0.000478621,0.0353326,
