imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,BRISK,2757,0.0374236,1,264,0,264,85.9886,21.5488,212.502,BRISK,0.00234334,0.039767,,,,0,0,0.039767,
0001.png,BRISK,2776,0.0346111,1,282,0,282,82.9618,21.7852,212.127,BRISK,0.00247294,0.037084,MAT_BF,DES_BINARY,SEL_KNN,171,0.000540335,0.0376244,
0002.png,BRISK,2742,0.0341814,1,282,0,282,82.9521,21.6897,192.763,BRISK,0.00246666,0.0366481,MAT_BF,DES_BINARY,SEL_KNN,176,0.000614272,0.0372623,
0003.png,BRISK,2735,0.0339784,1,277,0,277,86.0364,20.3585,159.232,BRISK,0.00263739,0.0366158,MAT_BF,DES_BINARY,SEL_KNN,157,0.000595464,0.0372113,
0004.png,BRISK,2756,0.0334899,1,297,0,297,81.0932,22.5919,220.713,BRISK,0.00268299,0.0361729,MAT_BF,DES_BINARY,SEL_KNN,176,0.000608157,0.0367811,
0005.png,BRISK,2694,0.0340863,1,279,0,279,83.2429,22.9443,249.968,BRISK,0.0025142,0.0366005,MAT_BF,DES_BINARY,SEL_KNN,174,0.000591933,0.0371924,
0006.png,BRISK,2715,0.0338016,1,289,0,289,82.062,21.8027,215.376,BRISK,0.00255066,0.0363523,MAT_BF,DES_BINARY,SEL_KNN,187,0.000599966,0.0369522,
0007.png,BRISK,2627,0.0328592,1,272,0,272,84.8219,22.1476,226.011,BRISK,0.00248638,0.0353456,MAT_BF,DES_BINARY,SEL_KNN,173,0.000586744,0.0359323,
0008.png,BRISK,2640,0.0334264,1,267,0,267,88.8441,22.5822,229.971,BRISK,0.00235996,0.0357863,MAT_BF,DES_BINARY,SEL_KNN,172,0.000552348,0.0363387,
0009.png,BRISK,2672,0.0339041,1,254,0,254,84.0078,22.0359,215.14,BRISK,0.00225515,0.0361593,MAT_BF,DES_BINARY,SEL_KNN,184,0.000536978,0.0366962,
cumulated sum,,27114,,,2763,,2763,,,,,,,,,,1570,,,
average values,,,0.0341762,,,,,84.2011,21.9487,213.38,,0.00247697,0.0366532,,,,,0.00052262,0.0371758,
