imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,BRISK,2757,0.0375479,1,264,0,264,85.9886,21.5488,212.502,FREAK,0.0280543,0.0656022,,,,0,0,0.0656022,
0001.png,BRISK,2776,0.0343203,1,282,0,282,82.9618,21.7852,212.127,FREAK,0.0287567,0.0630769,MAT_BF,DES_BINARY,SEL_KNN,160,0.000473328,0.0635503,
0002.png,BRISK,2742,0.0341511,1,282,0,282,82.9521,21.6897,192.763,FREAK,0.0281517,0.0623028,MAT_BF,DES_BINARY,SEL_KNN,177,0.000565309,0.0628681,
0003.png,BRISK,2735,0.0334353,1,277,0,277,86.0364,20.3585,159.232,FREAK,0.0287331,0.0621684,MAT_BF,DES_BINARY,SEL_KNN,155,0.000529256,0.0626977,
0004.png,BRISK,2756,0.0335543,1,297,0,297,81.0932,22.5919,220.713,FREAK,0.0283417,0.0618961,MAT_BF,DES_BINARY,SEL_KNN,173,0.00055009,0.0624461,
0005.png,BRISK,2694,0.0338337,1,279,0,279,83.2429,22.9443,249.968,FREAK,0.0284289,0.0622626,MAT_BF,DES_BINARY,SEL_KNN,163,0.000544524,0.0628072,
0006.png,BRISK,2715,0.033755,1,289,0,289,82.062,21.8027,215.376,FREAK,0.0283838,0.0621388,MAT_BF,DES_BINARY,SEL_KNN,182,0.000501041,0.0626399,
0007.png,BRISK,2627,0.0327553,1,272,0,272,84.8219,22.1476,226.011,FREAK,0.0287713,0.0615266,MAT_BF,DES_BINARY,SEL_KNN,169,0.000467632,0.0619942,
0008.png,BRISK,2640,0.033283,1,267,0,267,88.8441,22.5822,229.971,FREAK,0.0281086,0.0613916,MAT_BF,DES_BINARY,SEL_KNN,178,0.000445127,0.0618368,
0009.png,BRISK,2672,0.0333996,1,254,0,254,84.0078,22.0359,215.14,FREAK,0.028314,0.0617137,MAT_BF,DES_BINARY,SEL_KNN,167,0.000497301,0.062211,
cumulated sum,,27114,,,2763,,2763,,,,,,,,,,1524,,,
average values,,,0.0340036,,,,,84.2011,21.9487,213.38,,0.0284044,0.062408,,,,,0.000457361,0.0628653,
