imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,BRISK,2757,0.0362547,1,264,0,264,85.9886,21.5488,212.502,KAZE,0,0.0362547,,,,0,0,0.0362547,
0001.png,BRISK,2776,0.0343294,1,282,0,282,82.9618,21.7852,212.127,KAZE,0,0.0343294,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0343294,
0002.png,BRISK,2742,0.0341462,1,282,0,282,82.9521,21.6897,192.763,KAZE,0,0.0341462,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0341462,
0003.png,BRISK,2735,0.0334506,1,277,0,277,86.0364,20.3585,159.232,KAZE,0,0.0334506,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0334506,
0004.png,BRISK,2756,0.0340926,1,297,0,297,81.0932,22.5919,220.713,KAZE,0,0.0340926,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0340926,
0005.png,BRISK,2694,0.0335721,1,279,0,279,83.2429,22.9443,249.968,KAZE,0,0.0335721,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0335721,
0006.png,BRISK,2715,0.0333225,1,289,0,289,82.062,21.8027,215.376,KAZE,0,0.0333225,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0333225,
0007.png,BRISK,2627,0.0335057,1,272,0,272,84.8219,22.1476,226.011,KAZE,0,0.0335057,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0335057,
0008.png,BRISK,2640,0.0346571,1,267,0,267,88.8441,22.5822,229.971,KAZE,0,0.0346571,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0346571,
0009.png,BRISK,2672,0.0335568,1,254,0,254,84.0078,22.0359,215.14,KAZE,0,0.0335568,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0335568,
cumulated sum,,27114,,,2763,,2763,,,,,,,,,,-9,,,
average values,,,0.0340888,,,,,84.2011,21.9487,213.38,,0,0.0340888,,,,,0,0.0340888,
