imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,BRISK,2757,0.0366193,1,264,0,264,85.9886,21.5488,212.502,ORB,0.00364465,0.0402639,,,,0,0,0.0402639,
0001.png,BRISK,2776,0.0343525,1,282,0,282,82.9618,21.7852,212.127,ORB,0.003577,0.0379295,MAT_BF,DES_BINARY,SEL_KNN,162,0.000510448,0.03844,
0002.png,BRISK,2742,0.0336771,1,282,0,282,82.9521,21.6897,192.763,ORB,0.00369213,0.0373693,MAT_BF,DES_BINARY,SEL_KNN,175,0.000521151,0.0378904,
0003.png,BRISK,2735,0.0334143,1,277,0,277,86.0364,20.3585,159.232,ORB,0.00355886,0.0369732,MAT_BF,DES_BINARY,SEL_KNN,158,0.000544336,0.0375175,
0004.png,BRISK,2756,0.0342113,1,297,0,297,81.0932,22.5919,220.713,ORB,0.00376377,0.0379751,MAT_BF,DES_BINARY,SEL_KNN,167,0.000554249,0.0385294,
0005.png,BRISK,2694,0.0335375,1,279,0,279,83.2429,22.9443,249.968,ORB,0.0036016,0.0371391,MAT_BF,DES_BINARY,SEL_KNN,160,0.000538484,0.0376776,
0006.png,BRISK,2715,0.0339924,1,289,0,289,82.062,21.8027,215.376,ORB,0.00361621,0.0376086,MAT_BF,DES_BINARY,SEL_KNN,183,0.000464999,0.0380736,
0007.png,BRISK,2627,0.0335073,1,272,0,272,84.8219,22.1476,226.011,ORB,0.00357283,0.0370802,MAT_BF,DES_BINARY,SEL_KNN,168,0.000545038,0.0376252,
0008.png,BRISK,2640,0.0335781,1,267,0,267,88.8441,22.5822,229.971,ORB,0.00360253,0.0371807,MAT_BF,DES_BINARY,SEL_KNN,170,0.000504505,0.0376852,
0009.png,BRISK,2672,0.0335252,1,254,0,254,84.0078,22.0359,215.14,ORB,0.00349671,0.037022,MAT_BF,DES_BINARY,SEL_KNN,173,0.000471551,0.0374935,
cumulated sum,,27114,,,2763,,2763,,,,,,,,,,1516,,,
average values,,,0.0340415,,,,,84.2011,21.9487,213.38,,0.00361263,0.0376542,,,,,0.000465476,0.0381196,
