imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,BRISK,2757,0.036429,1,264,0,264,85.9886,21.5488,212.502,SIFT,0.0253613,0.0617903,,,,0,0,0.0617903,
0001.png,BRISK,2776,0.0344652,1,282,0,282,82.9618,21.7852,212.127,SIFT,0.0252913,0.0597565,MAT_BF,DES_HOG,SEL_KNN,182,0.000672799,0.0604293,
0002.png,BRISK,2742,0.0335236,1,282,0,282,82.9521,21.6897,192.763,SIFT,0.0259763,0.0594999,MAT_BF,DES_HOG,SEL_KNN,193,0.0006447,0.0601446,
0003.png,BRISK,2735,0.033689,1,277,0,277,86.0364,20.3585,159.232,SIFT,0.0256464,0.0593353,MAT_BF,DES_HOG,SEL_KNN,170,0.000610739,0.0599461,
0004.png,BRISK,2756,0.0338999,1,297,0,297,81.0932,22.5919,220.713,SIFT,0.0254794,0.0593793,MAT_BF,DES_HOG,SEL_KNN,183,0.000664202,0.0600435,
0005.png,BRISK,2694,0.0335193,1,279,0,279,83.2429,22.9443,249.968,SIFT,0.0243488,0.0578681,MAT_BF,DES_HOG,SEL_KNN,172,0.000626633,0.0584947,
0006.png,BRISK,2715,0.0341427,1,289,0,289,82.062,21.8027,215.376,SIFT,0.0297978,0.0639405,MAT_BF,DES_HOG,SEL_KNN,195,0.000617393,0.0645579,
0007.png,BRISK,2627,0.0332579,1,272,0,272,84.8219,22.1476,226.011,SIFT,0.0252348,0.0584927,MAT_BF,DES_HOG,SEL_KNN,194,0.000677905,0.0591706,
0008.png,BRISK,2640,0.0336345,1,267,0,267,88.8441,22.5822,229.971,SIFT,0.0254024,0.0590369,MAT_BF,DES_HOG,SEL_KNN,176,0.000539067,0.0595759,
0009.png,BRISK,2672,0.0336717,1,254,0,254,84.0078,22.0359,215.14,SIFT,0.0238688,0.0575405,MAT_BF,DES_HOG,SEL_KNN,183,0.000539654,0.0580801,
cumulated sum,,27114,,,2763,,2763,,,,,,,,,,1648,,,
average values,,,0.0340233,,,,,84.2011,21.9487,213.38,,0.0256407,0.059664,,,,,0.000559309,0.0602233,
