imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,BRISK,2757,0.0377453,1,264,0,264,85.9886,21.5488,212.502,SURF,0.00550094,0.0432463,,,,0,0,0.0432463,
0001.png,BRISK,2776,0.0345909,1,282,0,282,82.9618,21.7852,212.127,SURF,0.00544166,0.0400326,MAT_BF,DES_HOG,SEL_KNN,154,0.000387932,0.0404205,
0002.png,BRISK,2742,0.0339727,1,282,0,282,82.9521,21.6897,192.763,SURF,0.00539128,0.039364,MAT_BF,DES_HOG,SEL_KNN,166,0.000439953,0.0398039,
0003.png,BRISK,2735,0.0340305,1,277,0,277,86.0364,20.3585,159.232,SURF,0.00511931,0.0391498,MAT_BF,DES_HOG,SEL_KNN,158,0.000415811,0.0395656,
0004.png,BRISK,2756,0.0339049,1,297,0,297,81.0932,22.5919,220.713,SURF,0.00603287,0.0399378,MAT_BF,DES_HOG,SEL_KNN,155,0.000452594,0.0403904,
0005.png,BRISK,2694,0.0334545,1,279,0,279,83.2429,22.9443,249.968,SURF,0.00615948,0.039614,MAT_BF,DES_HOG,SEL_KNN,148,0.00046763,0.0400816,
0006.png,BRISK,2715,0.0334589,1,289,0,289,82.062,21.8027,215.376,SURF,0.00579031,0.0392492,MAT_BF,DES_HOG,SEL_KNN,183,0.000472175,0.0397214,
0007.png,BRISK,2627,0.0335426,1,272,0,272,84.8219,22.1476,226.011,SURF,0.00553153,0.0390741,MAT_BF,DES_HOG,SEL_KNN,168,0.000432516,0.0395067,
0008.png,BRISK,2640,0.0337918,1,267,0,267,88.8441,22.5822,229.971,SURF,0.00548306,0.0392748,MAT_BF,DES_HOG,SEL_KNN,170,0.000433202,0.039708,
0009.png,BRISK,2672,0.0335776,1,254,0,254,84.0078,22.0359,215.14,SURF,0.00518812,0.0387657,MAT_BF,DES_HOG,SEL_KNN,157,0.000403878,0.0391696,
cumulated sum,,27114,,,2763,,2763,,,,,,,,,,1459,,,
average values,,,0.034207,,,,,84.2011,21.9487,213.38,,0.00556385,0.0397708,,,,,0.000390569,0.0401614,
