imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,FAST,5063,0.00154011,1,419,0,419,38.2387,7,0,AKAZE,0,0.00154011,,,,0,0,0.00154011,
0001.png,FAST,4952,0.00152635,1,427,0,427,37.8993,7,0,AKAZE,0,0.00152635,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00152635,
0002.png,FAST,4863,0.00150761,1,404,0,404,39.3564,7,0,AKAZE,0,0.00150761,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00150761,
0003.png,FAST,4840,0.00150567,1,423,0,423,39.2577,7,0,AKAZE,0,0.00150567,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00150567,
0004.png,FAST,4856,0.00155105,1,386,0,386,40.4793,7,0,AKAZE,0,0.00155105,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00155105,
0005.png,FAST,4899,0.0016763,1,414,0,414,39.4227,7,0,AKAZE,0,0.0016763,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0016763,
0006.png,FAST,4870,0.00153017,1,418,0,418,37.8493,7,0,AKAZE,0,0.00153017,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00153017,
0007.png,FAST,4868,0.00164134,1,406,0,406,40.4089,7,0,AKAZE,0,0.00164134,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00164134,
0008.png,FAST,4996,0.00156965,1,396,0,396,40.8056,7,0,AKAZE,0,0.00156965,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00156965,
0009.png,FAST,4997,0.00159184,1,401,0,401,39.8354,7,0,AKAZE,0,0.00159184,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00159184,
cumulated sum,,49204,,,4094,,4094,,,,,,,,,,-9,,,
average values,,,0.00156401,,,,,39.3553,7,0,,0,0.00156401,,,,,0,0.00156401,
