imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,FAST,5063,0.00154479,1,419,0,419,38.2387,7,0,BRIEF,0.00131494,0.00285973,,,,0,0,0.00285973,
0001.png,FAST,4952,0.00161349,1,427,0,427,37.8993,7,0,BRIEF,0.00122312,0.00283661,MAT_BF,DES_BINARY,SEL_KNN,320,0.000951313,0.00378792,
0002.png,FAST,4863,0.00179483,1,404,0,404,39.3564,7,0,BRIEF,0.00176169,0.00355652,MAT_BF,DES_BINARY,SEL_KNN,332,0.000984226,0.00454075,
0003.png,FAST,4840,0.00159036,1,423,0,423,39.2577,7,0,BRIEF,0.00117423,0.00276459,MAT_BF,DES_BINARY,SEL_KNN,299,0.000910729,0.00367532,
0004.png,FAST,4856,0.00151733,1,386,0,386,40.4793,7,0,BRIEF,0.00107196,0.00258929,MAT_BF,DES_BINARY,SEL_KNN,331,0.000873053,0.00346234,
0005.png,FAST,4899,0.00151265,1,414,0,414,39.4227,7,0,BRIEF,0.00115979,0.00267244,MAT_BF,DES_BINARY,SEL_KNN,276,0.000936886,0.00360933,
0006.png,FAST,4870,0.00176853,1,418,0,418,37.8493,7,0,BRIEF,0.00117023,0.00293876,MAT_BF,DES_BINARY,SEL_KNN,327,0.000933032,0.0038718,
0007.png,FAST,4868,0.00154225,1,406,0,406,40.4089,7,0,BRIEF,0.00112412,0.00266638,MAT_BF,DES_BINARY,SEL_KNN,324,0.000930223,0.0035966,
0008.png,FAST,4996,0.00155862,1,396,0,396,40.8056,7,0,BRIEF,0.00115053,0.00270915,MAT_BF,DES_BINARY,SEL_KNN,315,0.000946091,0.00365524,
0009.png,FAST,4997,0.00158341,1,401,0,401,39.8354,7,0,BRIEF,0.00108123,0.00266464,MAT_BF,DES_BINARY,SEL_KNN,307,0.00085312,0.00351776,
cumulated sum,,49204,,,4094,,4094,,,,,,,,,,2831,,,
average values,,,0.00160263,,,,,39.3553,7,0,,0.00122319,0.00282581,,,,,0.000831867,0.00365768,
