imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,FAST,5063,0.0017458,1,419,0,419,38.2387,7,0,BRISK,0.00442096,0.00616677,,,,0,0,0.00616677,
0001.png,FAST,4952,0.00160903,1,427,0,427,37.8993,7,0,BRISK,0.00351429,0.00512332,MAT_BF,DES_BINARY,SEL_KNN,256,0.00106536,0.00618868,
0002.png,FAST,4863,0.00150109,1,404,0,404,39.3564,7,0,BRISK,0.00333387,0.00483496,MAT_BF,DES_BINARY,SEL_KNN,243,0.00103359,0.00586855,
0003.png,FAST,4840,0.00151563,1,423,0,423,39.2577,7,0,BRISK,0.00348529,0.00500092,MAT_BF,DES_BINARY,SEL_KNN,241,0.000988623,0.00598954,
0004.png,FAST,4856,0.00150504,1,386,0,386,40.4793,7,0,BRISK,0.00320156,0.00470659,MAT_BF,DES_BINARY,SEL_KNN,239,0.000978202,0.00568479,
0005.png,FAST,4899,0.00150685,1,414,0,414,39.4227,7,0,BRISK,0.00353115,0.005038,MAT_BF,DES_BINARY,SEL_KNN,215,0.000961186,0.00599918,
0006.png,FAST,4870,0.00157506,1,418,0,418,37.8493,7,0,BRISK,0.00351399,0.00508905,MAT_BF,DES_BINARY,SEL_KNN,251,0.0010525,0.00614155,
0007.png,FAST,4868,0.00152782,1,406,0,406,40.4089,7,0,BRISK,0.00353456,0.00506238,MAT_BF,DES_BINARY,SEL_KNN,248,0.000998131,0.00606051,
0008.png,FAST,4996,0.00156156,1,396,0,396,40.8056,7,0,BRISK,0.00326876,0.00483032,MAT_BF,DES_BINARY,SEL_KNN,243,0.00100655,0.00583688,
0009.png,FAST,4997,0.00158247,1,401,0,401,39.8354,7,0,BRISK,0.00333349,0.00491596,MAT_BF,DES_BINARY,SEL_KNN,247,0.000967269,0.00588322,
cumulated sum,,49204,,,4094,,4094,,,,,,,,,,2183,,,
average values,,,0.00156304,,,,,39.3553,7,0,,0.00351379,0.00507683,,,,,0.000905142,0.00598197,
