imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,FAST,5063,0.00161551,1,419,0,419,38.2387,7,0,FREAK,0.0314836,0.0330991,,,,0,0,0.0330991,
0001.png,FAST,4952,0.00160695,1,427,0,427,37.8993,7,0,FREAK,0.0295451,0.031152,MAT_BF,DES_BINARY,SEL_KNN,251,0.00106613,0.0322181,
0002.png,FAST,4863,0.00151829,1,404,0,404,39.3564,7,0,FREAK,0.0292596,0.0307779,MAT_BF,DES_BINARY,SEL_KNN,247,0.000971465,0.0317494,
0003.png,FAST,4840,0.00156484,1,423,0,423,39.2577,7,0,FREAK,0.0290249,0.0305897,MAT_BF,DES_BINARY,SEL_KNN,233,0.00106405,0.0316538,
0004.png,FAST,4856,0.00210489,1,386,0,386,40.4793,7,0,FREAK,0.0282463,0.0303512,MAT_BF,DES_BINARY,SEL_KNN,255,0.00100566,0.0313568,
0005.png,FAST,4899,0.00151753,1,414,0,414,39.4227,7,0,FREAK,0.0319758,0.0334933,MAT_BF,DES_BINARY,SEL_KNN,231,0.000947115,0.0344405,
0006.png,FAST,4870,0.00166323,1,418,0,418,37.8493,7,0,FREAK,0.0289102,0.0305734,MAT_BF,DES_BINARY,SEL_KNN,265,0.00102632,0.0315997,
0007.png,FAST,4868,0.00162074,1,406,0,406,40.4089,7,0,FREAK,0.0285456,0.0301664,MAT_BF,DES_BINARY,SEL_KNN,251,0.00102403,0.0311904,
0008.png,FAST,4996,0.00160675,1,396,0,396,40.8056,7,0,FREAK,0.0281527,0.0297595,MAT_BF,DES_BINARY,SEL_KNN,253,0.00094679,0.0307063,
0009.png,FAST,4997,0.00157308,1,401,0,401,39.8354,7,0,FREAK,0.0287817,0.0303548,MAT_BF,DES_BINARY,SEL_KNN,247,0.000943765,0.0312985,
cumulated sum,,49204,,,4094,,4094,,,,,,,,,,2233,,,
average values,,,0.00163918,,,,,39.3553,7,0,,0.0293925,0.0310317,,,,,0.000899533,0.0319313,
