imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,FAST,5063,0.0017269,1,419,0,419,38.2387,7,0,KAZE,0,0.0017269,,,,0,0,0.0017269,
0001.png,FAST,4952,0.00152846,1,427,0,427,37.8993,7,0,KAZE,0,0.00152846,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00152846,
0002.png,FAST,4863,0.00171407,1,404,0,404,39.3564,7,0,KAZE,0,0.00171407,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00171407,
0003.png,FAST,4840,0.00150579,1,423,0,423,39.2577,7,0,KAZE,0,0.00150579,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00150579,
0004.png,FAST,4856,0.00150586,1,386,0,386,40.4793,7,0,KAZE,0,0.00150586,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00150586,
0005.png,FAST,4899,0.0015767,1,414,0,414,39.4227,7,0,KAZE,0,0.0015767,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0015767,
0006.png,FAST,4870,0.00153234,1,418,0,418,37.8493,7,0,KAZE,0,0.00153234,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00153234,
0007.png,FAST,4868,0.00152574,1,406,0,406,40.4089,7,0,KAZE,0,0.00152574,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00152574,
0008.png,FAST,4996,0.00198912,1,396,0,396,40.8056,7,0,KAZE,0,0.00198912,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00198912,
0009.png,FAST,4997,0.00168802,1,401,0,401,39.8354,7,0,KAZE,0,0.00168802,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00168802,
cumulated sum,,49204,,,4094,,4094,,,,,,,,,,-9,,,
average values,,,0.0016293,,,,,39.3553,7,0,,0,0.0016293,,,,,0,0.0016293,
