imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,FAST,5063,0.00153982,1,419,0,419,38.2387,7,0,ORB,0.0013626,0.00290242,,,,0,0,0.00290242,
0001.png,FAST,4952,0.00176356,1,427,0,427,37.8993,7,0,ORB,0.00122441,0.00298797,MAT_BF,DES_BINARY,SEL_KNN,307,0.000976852,0.00396482,
0002.png,FAST,4863,0.00151451,1,404,0,404,39.3564,7,0,ORB,0.00157971,0.00309423,MAT_BF,DES_BINARY,SEL_KNN,308,0.000948498,0.00404272,
0003.png,FAST,4840,0.00151048,1,423,0,423,39.2577,7,0,ORB,0.00133639,0.00284687,MAT_BF,DES_BINARY,SEL_KNN,298,0.000926032,0.0037729,
0004.png,FAST,4856,0.00159018,1,386,0,386,40.4793,7,0,ORB,0.00120902,0.00279921,MAT_BF,DES_BINARY,SEL_KNN,321,0.000851764,0.00365097,
0005.png,FAST,4899,0.00160835,1,414,0,414,39.4227,7,0,ORB,0.00116363,0.00277198,MAT_BF,DES_BINARY,SEL_KNN,283,0.000898094,0.00367007,
0006.png,FAST,4870,0.00158992,1,418,0,418,37.8493,7,0,ORB,0.00114424,0.00273416,MAT_BF,DES_BINARY,SEL_KNN,315,0.000936606,0.00367076,
0007.png,FAST,4868,0.00162274,1,406,0,406,40.4089,7,0,ORB,0.00115742,0.00278017,MAT_BF,DES_BINARY,SEL_KNN,323,0.000944663,0.00372483,
0008.png,FAST,4996,0.00176406,1,396,0,396,40.8056,7,0,ORB,0.00111495,0.00287901,MAT_BF,DES_BINARY,SEL_KNN,302,0.000867617,0.00374663,
0009.png,FAST,4997,0.00157651,1,401,0,401,39.8354,7,0,ORB,0.00113388,0.00271039,MAT_BF,DES_BINARY,SEL_KNN,311,0.000865866,0.00357626,
cumulated sum,,49204,,,4094,,4094,,,,,,,,,,2768,,,
average values,,,0.00160801,,,,,39.3553,7,0,,0.00124263,0.00285064,,,,,0.000821599,0.00367224,
