imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,FAST,5063,0.00163513,1,419,0,419,38.2387,7,0,SIFT,0.0186157,0.0202508,,,,0,0,0.0202508,
0001.png,FAST,4952,0.00174397,1,427,0,427,37.8993,7,0,SIFT,0.0189725,0.0207165,MAT_BF,DES_HOG,SEL_KNN,316,0.00127133,0.0219878,
0002.png,FAST,4863,0.00184068,1,404,0,404,39.3564,7,0,SIFT,0.0199874,0.0218281,MAT_BF,DES_HOG,SEL_KNN,325,0.00110008,0.0229281,
0003.png,FAST,4840,0.00176227,1,423,0,423,39.2577,7,0,SIFT,0.0193827,0.021145,MAT_BF,DES_HOG,SEL_KNN,297,0.00119684,0.0223418,
0004.png,FAST,4856,0.001752,1,386,0,386,40.4793,7,0,SIFT,0.0178873,0.0196393,MAT_BF,DES_HOG,SEL_KNN,311,0.00118317,0.0208224,
0005.png,FAST,4899,0.00156088,1,414,0,414,39.4227,7,0,SIFT,0.018474,0.0200349,MAT_BF,DES_HOG,SEL_KNN,291,0.00108226,0.0211171,
0006.png,FAST,4870,0.00174962,1,418,0,418,37.8493,7,0,SIFT,0.0181651,0.0199147,MAT_BF,DES_HOG,SEL_KNN,326,0.00116793,0.0210826,
0007.png,FAST,4868,0.00153393,1,406,0,406,40.4089,7,0,SIFT,0.0208891,0.022423,MAT_BF,DES_HOG,SEL_KNN,315,0.00155523,0.0239782,
0008.png,FAST,4996,0.00164778,1,396,0,396,40.8056,7,0,SIFT,0.018754,0.0204018,MAT_BF,DES_HOG,SEL_KNN,300,0.00110246,0.0215042,
0009.png,FAST,4997,0.00179289,1,401,0,401,39.8354,7,0,SIFT,0.0181922,0.0199851,MAT_BF,DES_HOG,SEL_KNN,301,0.00108686,0.0210719,
cumulated sum,,49204,,,4094,,4094,,,,,,,,,,2782,,,
average values,,,0.00170191,,,,,39.3553,7,0,,0.018932,0.0206339,,,,,0.00107462,0.0217085,
