imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,FAST,5063,0.00163969,1,419,0,419,38.2387,7,0,SURF,0.00261905,0.00425874,,,,0,0,0.00425874,
0001.png,FAST,4952,0.00163419,1,427,0,427,37.8993,7,0,SURF,0.00267204,0.00430623,MAT_BF,DES_HOG,SEL_KNN,188,0.000702718,0.00500895,
0002.png,FAST,4863,0.00156236,1,404,0,404,39.3564,7,0,SURF,0.00260732,0.00416968,MAT_BF,DES_HOG,SEL_KNN,208,0.000678058,0.00484774,
0003.png,FAST,4840,0.00151264,1,423,0,423,39.2577,7,0,SURF,0.00271289,0.00422553,MAT_BF,DES_HOG,SEL_KNN,166,0.000668919,0.00489445,
0004.png,FAST,4856,0.00155925,1,386,0,386,40.4793,7,0,SURF,0.00246556,0.00402482,MAT_BF,DES_HOG,SEL_KNN,168,0.000658981,0.0046838,
0005.png,FAST,4899,0.00168988,1,414,0,414,39.4227,7,0,SURF,0.00263086,0.00432074,MAT_BF,DES_HOG,SEL_KNN,167,0.000620607,0.00494134,
0006.png,FAST,4870,0.00153554,1,418,0,418,37.8493,7,0,SURF,0.00265025,0.00418579,MAT_BF,DES_HOG,SEL_KNN,197,0.000668778,0.00485457,
0007.png,FAST,4868,0.00178265,1,406,0,406,40.4089,7,0,SURF,0.00259288,0.00437553,MAT_BF,DES_HOG,SEL_KNN,211,0.000660862,0.00503639,
0008.png,FAST,4996,0.00155605,1,396,0,396,40.8056,7,0,SURF,0.00251248,0.00406853,MAT_BF,DES_HOG,SEL_KNN,202,0.000630092,0.00469862,
0009.png,FAST,4997,0.00163884,1,401,0,401,39.8354,7,0,SURF,0.00264214,0.00428098,MAT_BF,DES_HOG,SEL_KNN,203,0.000646876,0.00492785,
cumulated sum,,49204,,,4094,,4094,,,,,,,,,,1710,,,
average values,,,0.00161111,,,,,39.3553,7,0,,0.00261055,0.00422166,,,,,0.000593589,0.00481525,
