imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,HARRIS,115,0.00948896,1,17,0,17,128.588,6,0,AKAZE,0,0.00948896,,,,0,0,0.00948896,
0001.png,HARRIS,98,0.00920917,1,14,0,14,130.714,6,0,AKAZE,0,0.00920917,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00920917,
0002.png,HARRIS,113,0.0090842,1,18,0,18,132.333,6,0,AKAZE,0,0.0090842,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0090842,
0003.png,HARRIS,121,0.0102513,1,21,0,21,129.81,6,0,AKAZE,0,0.0102513,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0102513,
0004.png,HARRIS,160,0.0101961,1,26,0,26,136.308,6,0,AKAZE,0,0.0101961,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0101961,
0005.png,HARRIS,383,0.0189612,1,43,0,43,136.209,6,0,AKAZE,0,0.0189612,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0189612,
0006.png,HARRIS,85,0.00959209,1,18,0,18,132.333,6,0,AKAZE,0,0.00959209,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00959209,
0007.png,HARRIS,210,0.0104042,1,31,0,31,140,6,0,AKAZE,0,0.0104042,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0104042,
0008.png,HARRIS,171,0.00973738,1,26,0,26,143.154,6,0,AKAZE,0,0.00973738,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00973738,
0009.png,HARRIS,281,0.0128492,1,34,0,34,142.294,6,0,AKAZE,0,0.0128492,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0128492,
cumulated sum,,1737,,,248,,248,,,,,,,,,,-9,,,
average values,,,0.0109774,,,,,135.174,6,0,,0,0.0109774,,,,,0,0.0109774,
