imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,HARRIS,115,0.00935791,1,17,0,17,128.588,6,0,BRIEF,0.000199178,0.00955708,,,,0,0,0.00955708,
0001.png,HARRIS,98,0.0090523,1,14,0,14,130.714,6,0,BRIEF,0.000227021,0.00927933,MAT_BF,DES_BINARY,SEL_KNN,14,0.000146222,0.00942555,
0002.png,HARRIS,113,0.00891288,1,18,0,18,132.333,6,0,BRIEF,0.000220441,0.00913332,MAT_BF,DES_BINARY,SEL_KNN,11,6.6788e-05,0.00920011,
0003.png,HARRIS,121,0.00915293,1,21,0,21,129.81,6,0,BRIEF,0.000272101,0.00942504,MAT_BF,DES_BINARY,SEL_KNN,15,9.0998e-05,0.00951603,
0004.png,HARRIS,160,0.010171,1,26,0,26,136.308,6,0,BRIEF,0.000220329,0.0103914,MAT_BF,DES_BINARY,SEL_KNN,20,9.3573e-05,0.0104849,
0005.png,HARRIS,383,0.0184872,1,43,0,43,136.209,6,0,BRIEF,0.000327138,0.0188144,MAT_BF,DES_BINARY,SEL_KNN,24,0.000151456,0.0189658,
0006.png,HARRIS,85,0.00926666,1,18,0,18,132.333,6,0,BRIEF,0.000240963,0.00950763,MAT_BF,DES_BINARY,SEL_KNN,26,0.000148975,0.0096566,
0007.png,HARRIS,210,0.0105836,1,31,0,31,140,6,0,BRIEF,0.000288801,0.0108724,MAT_BF,DES_BINARY,SEL_KNN,16,0.000112813,0.0109852,
0008.png,HARRIS,171,0.010193,1,26,0,26,143.154,6,0,BRIEF,0.000223589,0.0104166,MAT_BF,DES_BINARY,SEL_KNN,24,9.9829e-05,0.0105165,
0009.png,HARRIS,281,0.0128606,1,34,0,34,142.294,6,0,BRIEF,0.000272089,0.0131327,MAT_BF,DES_BINARY,SEL_KNN,23,0.00014102,0.0132737,
cumulated sum,,1737,,,248,,248,,,,,,,,,,173,,,
average values,,,0.0108038,,,,,135.174,6,0,,0.000249165,0.011053,,,,,0.000105167,0.0111582,
