imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,HARRIS,115,0.00959815,1,17,0,17,128.588,6,0,BRISK,0.000352511,0.00995066,,,,0,0,0.00995066,
0001.png,HARRIS,98,0.00942535,1,14,0,14,130.714,6,0,BRISK,0.000294317,0.00971967,MAT_BF,DES_BINARY,SEL_KNN,12,7.1497e-05,0.00979117,
0002.png,HARRIS,113,0.00909493,1,18,0,18,132.333,6,0,BRISK,0.000322988,0.00941791,MAT_BF,DES_BINARY,SEL_KNN,10,6.9236e-05,0.00948715,
0003.png,HARRIS,121,0.00943386,1,21,0,21,129.81,6,0,BRISK,0.000341804,0.00977567,MAT_BF,DES_BINARY,SEL_KNN,14,0.000107652,0.00988332,
0004.png,HARRIS,160,0.0097151,1,26,0,26,136.308,6,0,BRISK,0.000384701,0.0100998,MAT_BF,DES_BINARY,SEL_KNN,15,0.000125418,0.0102252,
0005.png,HARRIS,383,0.018988,1,43,0,43,136.209,6,0,BRISK,0.000521687,0.0195097,MAT_BF,DES_BINARY,SEL_KNN,16,0.000150762,0.0196605,
0006.png,HARRIS,85,0.00949724,1,18,0,18,132.333,6,0,BRISK,0.000320344,0.00981758,MAT_BF,DES_BINARY,SEL_KNN,16,0.000153595,0.00997118,
0007.png,HARRIS,210,0.0110092,1,31,0,31,140,6,0,BRISK,0.000461662,0.0114709,MAT_BF,DES_BINARY,SEL_KNN,15,0.000126153,0.011597,
0008.png,HARRIS,171,0.0103026,1,26,0,26,143.154,6,0,BRISK,0.000389435,0.010692,MAT_BF,DES_BINARY,SEL_KNN,23,0.000129903,0.0108219,
0009.png,HARRIS,281,0.0132579,1,34,0,34,142.294,6,0,BRISK,0.000445394,0.0137033,MAT_BF,DES_BINARY,SEL_KNN,21,0.000152482,0.0138558,
cumulated sum,,1737,,,248,,248,,,,,,,,,,142,,,
average values,,,0.0110322,,,,,135.174,6,0,,0.000383484,0.0114157,,,,,0.00010867,0.0115244,
