imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,HARRIS,115,0.00993977,1,17,0,17,128.588,6,0,FREAK,0.0368731,0.0468128,,,,0,0,0.0468128,
0001.png,HARRIS,98,0.00991758,1,14,0,14,130.714,6,0,FREAK,0.0263962,0.0363138,MAT_BF,DES_BINARY,SEL_KNN,13,6.9273e-05,0.0363831,
0002.png,HARRIS,113,0.00913598,1,18,0,18,132.333,6,0,FREAK,0.0269482,0.0360842,MAT_BF,DES_BINARY,SEL_KNN,13,7.1881e-05,0.0361561,
0003.png,HARRIS,121,0.0091475,1,21,0,21,129.81,6,0,FREAK,0.0267615,0.035909,MAT_BF,DES_BINARY,SEL_KNN,15,0.000107683,0.0360166,
0004.png,HARRIS,160,0.00976134,1,26,0,26,136.308,6,0,FREAK,0.0351018,0.0448632,MAT_BF,DES_BINARY,SEL_KNN,15,0.000116257,0.0449794,
0005.png,HARRIS,383,0.0195204,1,43,0,43,136.209,6,0,FREAK,0.026979,0.0464994,MAT_BF,DES_BINARY,SEL_KNN,17,0.000154055,0.0466534,
0006.png,HARRIS,85,0.00861486,1,18,0,18,132.333,6,0,FREAK,0.0267628,0.0353776,MAT_BF,DES_BINARY,SEL_KNN,20,9.7645e-05,0.0354753,
0007.png,HARRIS,210,0.0104959,1,31,0,31,140,6,0,FREAK,0.0265845,0.0370805,MAT_BF,DES_BINARY,SEL_KNN,12,9.028e-05,0.0371707,
0008.png,HARRIS,171,0.00967807,1,26,0,26,143.154,6,0,FREAK,0.0265723,0.0362503,MAT_BF,DES_BINARY,SEL_KNN,21,0.000128505,0.0363788,
0009.png,HARRIS,281,0.0129292,1,34,0,34,142.294,6,0,FREAK,0.0264592,0.0393884,MAT_BF,DES_BINARY,SEL_KNN,18,0.000125093,0.0395135,
cumulated sum,,1737,,,248,,248,,,,,,,,,,144,,,
average values,,,0.0109141,,,,,135.174,6,0,,0.0285439,0.0394579,,,,,9.60672e-05,0.039554,
