imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,HARRIS,115,0.00919472,1,17,0,17,128.588,6,0,KAZE,0,0.00919472,,,,0,0,0.00919472,
0001.png,HARRIS,98,0.00919833,1,14,0,14,130.714,6,0,KAZE,0,0.00919833,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00919833,
0002.png,HARRIS,113,0.00889884,1,18,0,18,132.333,6,0,KAZE,0,0.00889884,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00889884,
0003.png,HARRIS,121,0.00935391,1,21,0,21,129.81,6,0,KAZE,0,0.00935391,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00935391,
0004.png,HARRIS,160,0.00949238,1,26,0,26,136.308,6,0,KAZE,0,0.00949238,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00949238,
0005.png,HARRIS,383,0.0186957,1,43,0,43,136.209,6,0,KAZE,0,0.0186957,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0186957,
0006.png,HARRIS,85,0.0090716,1,18,0,18,132.333,6,0,KAZE,0,0.0090716,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0090716,
0007.png,HARRIS,210,0.0108736,1,31,0,31,140,6,0,KAZE,0,0.0108736,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0108736,
0008.png,HARRIS,171,0.00974183,1,26,0,26,143.154,6,0,KAZE,0,0.00974183,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00974183,
0009.png,HARRIS,281,0.0131973,1,34,0,34,142.294,6,0,KAZE,0,0.0131973,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0131973,
cumulated sum,,1737,,,248,,248,,,,,,,,,,-9,,,
average values,,,0.0107718,,,,,135.174,6,0,,0,0.0107718,,,,,0,0.0107718,
