imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,HARRIS,115,0.00953422,1,17,0,17,128.588,6,0,ORB,0.000649781,0.010184,,,,0,0,0.010184,
0001.png,HARRIS,98,0.00938316,1,14,0,14,130.714,6,0,ORB,0.000642186,0.0100253,MAT_BF,DES_BINARY,SEL_KNN,12,0.000106171,0.0101315,
0002.png,HARRIS,113,0.0130024,1,18,0,18,132.333,6,0,ORB,0.00111464,0.014117,MAT_BF,DES_BINARY,SEL_KNN,12,0.000115584,0.0142326,
0003.png,HARRIS,121,0.0118714,1,21,0,21,129.81,6,0,ORB,0.000811934,0.0126834,MAT_BF,DES_BINARY,SEL_KNN,15,5.493e-05,0.0127383,
0004.png,HARRIS,160,0.00992055,1,26,0,26,136.308,6,0,ORB,0.000685941,0.0106065,MAT_BF,DES_BINARY,SEL_KNN,18,0.000132635,0.0107391,
0005.png,HARRIS,383,0.018474,1,43,0,43,136.209,6,0,ORB,0.000697267,0.0191713,MAT_BF,DES_BINARY,SEL_KNN,24,0.00014199,0.0193133,
0006.png,HARRIS,85,0.00938539,1,18,0,18,132.333,6,0,ORB,0.000657613,0.010043,MAT_BF,DES_BINARY,SEL_KNN,20,0.000125036,0.010168,
0007.png,HARRIS,210,0.0103972,1,31,0,31,140,6,0,ORB,0.000697648,0.0110949,MAT_BF,DES_BINARY,SEL_KNN,15,0.000115295,0.0112102,
0008.png,HARRIS,171,0.00988257,1,26,0,26,143.154,6,0,ORB,0.000886906,0.0107695,MAT_BF,DES_BINARY,SEL_KNN,24,0.000111603,0.0108811,
0009.png,HARRIS,281,0.0130405,1,34,0,34,142.294,6,0,ORB,0.000750208,0.0137907,MAT_BF,DES_BINARY,SEL_KNN,22,0.000129112,0.0139198,
cumulated sum,,1737,,,248,,248,,,,,,,,,,162,,,
average values,,,0.0114891,,,,,135.174,6,0,,0.000759412,0.0122486,,,,,0.000103236,0.0123518,
