imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,HARRIS,115,0.00971967,1,17,0,17,128.588,6,0,SIFT,0.0121137,0.0218334,,,,0,0,0.0218334,
0001.png,HARRIS,98,0.00904219,1,14,0,14,130.714,6,0,SIFT,0.0132847,0.0223269,MAT_BF,DES_HOG,SEL_KNN,14,4.3716e-05,0.0223706,
0002.png,HARRIS,113,0.00939888,1,18,0,18,132.333,6,0,SIFT,0.0123988,0.0217977,MAT_BF,DES_HOG,SEL_KNN,11,3.7958e-05,0.0218356,
0003.png,HARRIS,121,0.00938722,1,21,0,21,129.81,6,0,SIFT,0.0123119,0.0216991,MAT_BF,DES_HOG,SEL_KNN,16,3.3898e-05,0.021733,
0004.png,HARRIS,160,0.00977142,1,26,0,26,136.308,6,0,SIFT,0.0118809,0.0216523,MAT_BF,DES_HOG,SEL_KNN,19,4.052e-05,0.0216929,
0005.png,HARRIS,383,0.0187371,1,43,0,43,136.209,6,0,SIFT,0.0127308,0.0314679,MAT_BF,DES_HOG,SEL_KNN,22,9.0477e-05,0.0315584,
0006.png,HARRIS,85,0.00914316,1,18,0,18,132.333,6,0,SIFT,0.0116172,0.0207604,MAT_BF,DES_HOG,SEL_KNN,22,7.6972e-05,0.0208373,
0007.png,HARRIS,210,0.0115524,1,31,0,31,140,6,0,SIFT,0.0126813,0.0242337,MAT_BF,DES_HOG,SEL_KNN,13,4.3689e-05,0.0242774,
0008.png,HARRIS,171,0.0105945,1,26,0,26,143.154,6,0,SIFT,0.0119299,0.0225245,MAT_BF,DES_HOG,SEL_KNN,24,0.00010712,0.0226316,
0009.png,HARRIS,281,0.013493,1,34,0,34,142.294,6,0,SIFT,0.0118656,0.0253586,MAT_BF,DES_HOG,SEL_KNN,22,6.2803e-05,0.0254214,
cumulated sum,,1737,,,248,,248,,,,,,,,,,163,,,
average values,,,0.011084,,,,,135.174,6,0,,0.0122815,0.0233654,,,,,5.37153e-05,0.0234192,
