imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,HARRIS,115,0.00902852,1,17,0,17,128.588,6,0,SURF,0.000431439,0.00945996,,,,0,0,0.00945996,
0001.png,HARRIS,98,0.00874088,1,14,0,14,130.714,6,0,SURF,0.000366177,0.00910705,MAT_BF,DES_HOG,SEL_KNN,11,3.0538e-05,0.00913759,
0002.png,HARRIS,113,0.00886827,1,18,0,18,132.333,6,0,SURF,0.000412809,0.00928108,MAT_BF,DES_HOG,SEL_KNN,9,2.2938e-05,0.00930402,
0003.png,HARRIS,121,0.0095892,1,21,0,21,129.81,6,0,SURF,0.000420178,0.0100094,MAT_BF,DES_HOG,SEL_KNN,11,2.7725e-05,0.0100371,
0004.png,HARRIS,160,0.00960121,1,26,0,26,136.308,6,0,SURF,0.000437791,0.010039,MAT_BF,DES_HOG,SEL_KNN,10,3.1168e-05,0.0100702,
0005.png,HARRIS,383,0.0191914,1,43,0,43,136.209,6,0,SURF,0.00059684,0.0197883,MAT_BF,DES_HOG,SEL_KNN,17,2.9658e-05,0.0198179,
0006.png,HARRIS,85,0.00868383,1,18,0,18,132.333,6,0,SURF,0.000378182,0.00906201,MAT_BF,DES_HOG,SEL_KNN,19,3.1321e-05,0.00909333,
0007.png,HARRIS,210,0.0104622,1,31,0,31,140,6,0,SURF,0.000514118,0.0109763,MAT_BF,DES_HOG,SEL_KNN,8,2.825e-05,0.0110046,
0008.png,HARRIS,171,0.00993781,1,26,0,26,143.154,6,0,SURF,0.000435838,0.0103736,MAT_BF,DES_HOG,SEL_KNN,23,2.8866e-05,0.0104025,
0009.png,HARRIS,281,0.0129302,1,34,0,34,142.294,6,0,SURF,0.000489847,0.01342,MAT_BF,DES_HOG,SEL_KNN,15,2.8204e-05,0.0134482,
cumulated sum,,1737,,,248,,248,,,,,,,,,,123,,,
average values,,,0.0107034,,,,,135.174,6,0,,0.000448322,0.0111517,,,,,2.58668e-05,0.0111775,
