imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,KAZE,1826,0.248279,1,206,0,206,0.00787833,10.3394,73.4349,AKAZE,0.0402542,0.288533,,,,0,0,0.288533,
0001.png,KAZE,1804,0.236658,1,184,0,184,0.0077327,9.71678,69.717,AKAZE,0.0345593,0.271218,MAT_BF,DES_BINARY,SEL_KNN,183,0.000271525,0.271489,
0002.png,KAZE,1772,0.23477,1,197,0,197,0.00800459,9.82327,70.2521,AKAZE,0.0336743,0.268444,MAT_BF,DES_BINARY,SEL_KNN,164,0.000257208,0.268701,
0003.png,KAZE,1795,0.227068,1,193,0,193,0.00744898,9.75182,66.3049,AKAZE,0.0349751,0.262043,MAT_BF,DES_BINARY,SEL_KNN,172,0.000272845,0.262316,
0004.png,KAZE,1782,0.233635,1,199,0,199,0.00754405,9.78736,65.0701,AKAZE,0.0342424,0.267877,MAT_BF,DES_BINARY,SEL_KNN,173,0.00027428,0.268152,
0005.png,KAZE,1751,0.229064,1,193,0,193,0.00740082,9.80277,64.4778,AKAZE,0.0360069,0.265071,MAT_BF,DES_BINARY,SEL_KNN,173,0.000335288,0.265406,
0006.png,KAZE,1756,0.228154,1,207,0,207,0.00753949,10.35,77.3529,AKAZE,0.0359653,0.264119,MAT_BF,DES_BINARY,SEL_KNN,176,0.000284327,0.264404,
0007.png,KAZE,1743,0.243801,1,211,0,211,0.00772029,10.2853,76.9923,AKAZE,0.0371986,0.280999,MAT_BF,DES_BINARY,SEL_KNN,184,0.000397009,0.281396,
0008.png,KAZE,1817,0.235334,1,220,0,220,0.00737944,9.54881,66.0518,AKAZE,0.0372799,0.272614,MAT_BF,DES_BINARY,SEL_KNN,190,0.000423275,0.273037,
0009.png,KAZE,1817,0.233514,1,216,0,216,0.00739091,9.65133,72.5954,AKAZE,0.0360554,0.269569,MAT_BF,DES_BINARY,SEL_KNN,200,0.000461246,0.27003,
cumulated sum,,17863,,,2026,,2026,,,,,,,,,,1615,,,
average values,,,0.235028,,,,,0.00760396,9.90569,70.2249,,0.0360212,0.271049,,,,,0.0002977,0.271346,
