imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,KAZE,1826,0.25093,1,206,0,206,0.00787833,10.3394,73.4349,BRIEF,0.000766292,0.251696,,,,0,0,0.251696,
0001.png,KAZE,1804,0.233717,1,184,0,184,0.0077327,9.71678,69.717,BRIEF,0.000692317,0.23441,MAT_BF,DES_BINARY,SEL_KNN,136,0.000315569,0.234725,
0002.png,KAZE,1772,0.237884,1,197,0,197,0.00800459,9.82327,70.2521,BRIEF,0.00123701,0.239121,MAT_BF,DES_BINARY,SEL_KNN,126,0.000296388,0.239418,
0003.png,KAZE,1795,0.236701,1,193,0,193,0.00744898,9.75182,66.3049,BRIEF,0.000668209,0.237369,MAT_BF,DES_BINARY,SEL_KNN,137,0.000321272,0.23769,
0004.png,KAZE,1782,0.237156,1,199,0,199,0.00754405,9.78736,65.0701,BRIEF,0.000745197,0.237902,MAT_BF,DES_BINARY,SEL_KNN,137,0.000295188,0.238197,
0005.png,KAZE,1751,0.241702,1,193,0,193,0.00740082,9.80277,64.4778,BRIEF,0.00139727,0.243099,MAT_BF,DES_BINARY,SEL_KNN,136,0.000335392,0.243434,
0006.png,KAZE,1756,0.269485,1,207,0,207,0.00753949,10.35,77.3529,BRIEF,0.000723079,0.270208,MAT_BF,DES_BINARY,SEL_KNN,134,0.000291978,0.2705,
0007.png,KAZE,1743,0.253293,1,211,0,211,0.00772029,10.2853,76.9923,BRIEF,0.000708766,0.254002,MAT_BF,DES_BINARY,SEL_KNN,149,0.000340163,0.254342,
0008.png,KAZE,1817,0.244866,1,220,0,220,0.00737944,9.54881,66.0518,BRIEF,0.00121157,0.246078,MAT_BF,DES_BINARY,SEL_KNN,152,0.000391244,0.246469,
0009.png,KAZE,1817,0.24088,1,216,0,216,0.00739091,9.65133,72.5954,BRIEF,0.000779315,0.241659,MAT_BF,DES_BINARY,SEL_KNN,160,0.000294829,0.241954,
cumulated sum,,17863,,,2026,,2026,,,,,,,,,,1267,,,
average values,,,0.244661,,,,,0.00760396,9.90569,70.2249,,0.000892902,0.245554,,,,,0.000288202,0.245843,
