imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,KAZE,1826,0.2381,1,206,0,206,0.00787833,10.3394,73.4349,BRISK,0.00193058,0.240031,,,,0,0,0.240031,
0001.png,KAZE,1804,0.238791,1,184,0,184,0.0077327,9.71678,69.717,BRISK,0.00163204,0.240423,MAT_BF,DES_BINARY,SEL_KNN,155,0.000412745,0.240836,
0002.png,KAZE,1772,0.233258,1,197,0,197,0.00800459,9.82327,70.2521,BRISK,0.00185067,0.235109,MAT_BF,DES_BINARY,SEL_KNN,143,0.000334688,0.235443,
0003.png,KAZE,1795,0.249687,1,193,0,193,0.00744898,9.75182,66.3049,BRISK,0.00171829,0.251406,MAT_BF,DES_BINARY,SEL_KNN,144,0.000361449,0.251767,
0004.png,KAZE,1782,0.241836,1,199,0,199,0.00754405,9.78736,65.0701,BRISK,0.00175048,0.243587,MAT_BF,DES_BINARY,SEL_KNN,157,0.000362742,0.24395,
0005.png,KAZE,1751,0.243071,1,193,0,193,0.00740082,9.80277,64.4778,BRISK,0.00215509,0.245226,MAT_BF,DES_BINARY,SEL_KNN,142,0.000359217,0.245585,
0006.png,KAZE,1756,0.247231,1,207,0,207,0.00753949,10.35,77.3529,BRISK,0.00187045,0.249101,MAT_BF,DES_BINARY,SEL_KNN,148,0.000409154,0.24951,
0007.png,KAZE,1743,0.2462,1,211,0,211,0.00772029,10.2853,76.9923,BRISK,0.00185585,0.248056,MAT_BF,DES_BINARY,SEL_KNN,161,0.000372479,0.248428,
0008.png,KAZE,1817,0.239043,1,220,0,220,0.00737944,9.54881,66.0518,BRISK,0.00237155,0.241414,MAT_BF,DES_BINARY,SEL_KNN,162,0.000421162,0.241836,
0009.png,KAZE,1817,0.242799,1,216,0,216,0.00739091,9.65133,72.5954,BRISK,0.00193787,0.244736,MAT_BF,DES_BINARY,SEL_KNN,174,0.000458477,0.245195,
cumulated sum,,17863,,,2026,,2026,,,,,,,,,,1386,,,
average values,,,0.242002,,,,,0.00760396,9.90569,70.2249,,0.00190729,0.243909,,,,,0.000349211,0.244258,
