imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,KAZE,1826,0.247845,1,206,0,206,0.00787833,10.3394,73.4349,FREAK,0.032467,0.280312,,,,0,0,0.280312,
0001.png,KAZE,1804,0.242767,1,184,0,184,0.0077327,9.71678,69.717,FREAK,0.032044,0.274811,MAT_BF,DES_BINARY,SEL_KNN,147,0.000349715,0.27516,
0002.png,KAZE,1772,0.243241,1,197,0,197,0.00800459,9.82327,70.2521,FREAK,0.0324449,0.275686,MAT_BF,DES_BINARY,SEL_KNN,140,0.000348852,0.276035,
0003.png,KAZE,1795,0.235437,1,193,0,193,0.00744898,9.75182,66.3049,FREAK,0.0319839,0.267421,MAT_BF,DES_BINARY,SEL_KNN,130,0.000354852,0.267776,
0004.png,KAZE,1782,0.229846,1,199,0,199,0.00754405,9.78736,65.0701,FREAK,0.0318794,0.261725,MAT_BF,DES_BINARY,SEL_KNN,145,0.000406655,0.262132,
0005.png,KAZE,1751,0.232688,1,193,0,193,0.00740082,9.80277,64.4778,FREAK,0.0304579,0.263146,MAT_BF,DES_BINARY,SEL_KNN,135,0.00036724,0.263513,
0006.png,KAZE,1756,0.239826,1,207,0,207,0.00753949,10.35,77.3529,FREAK,0.0310246,0.270851,MAT_BF,DES_BINARY,SEL_KNN,143,0.00034851,0.271199,
0007.png,KAZE,1743,0.238766,1,211,0,211,0.00772029,10.2853,76.9923,FREAK,0.0315719,0.270338,MAT_BF,DES_BINARY,SEL_KNN,154,0.000323627,0.270662,
0008.png,KAZE,1817,0.232519,1,220,0,220,0.00737944,9.54881,66.0518,FREAK,0.0313535,0.263872,MAT_BF,DES_BINARY,SEL_KNN,154,0.000373588,0.264246,
0009.png,KAZE,1817,0.243166,1,216,0,216,0.00739091,9.65133,72.5954,FREAK,0.0325092,0.275675,MAT_BF,DES_BINARY,SEL_KNN,163,0.000345738,0.276021,
cumulated sum,,17863,,,2026,,2026,,,,,,,,,,1311,,,
average values,,,0.23861,,,,,0.00760396,9.90569,70.2249,,0.0317736,0.270384,,,,,0.000321878,0.270706,
