imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,KAZE,1826,0.248517,1,206,0,206,0.00787833,10.3394,73.4349,KAZE,0.179333,0.42785,,,,0,0,0.42785,
0001.png,KAZE,1804,0.254993,1,184,0,184,0.0077327,9.71678,69.717,KAZE,0.178967,0.43396,MAT_BF,DES_HOG,SEL_KNN,155,0.000231273,0.434191,
0002.png,KAZE,1772,0.245794,1,197,0,197,0.00800459,9.82327,70.2521,KAZE,0.179607,0.425402,MAT_BF,DES_HOG,SEL_KNN,139,0.000244626,0.425646,
0003.png,KAZE,1795,0.23764,1,193,0,193,0.00744898,9.75182,66.3049,KAZE,0.17933,0.41697,MAT_BF,DES_HOG,SEL_KNN,142,0.000223001,0.417193,
0004.png,KAZE,1782,0.238136,1,199,0,199,0.00754405,9.78736,65.0701,KAZE,0.179124,0.417259,MAT_BF,DES_HOG,SEL_KNN,154,0.000238058,0.417497,
0005.png,KAZE,1751,0.248667,1,193,0,193,0.00740082,9.80277,64.4778,KAZE,0.182511,0.431178,MAT_BF,DES_HOG,SEL_KNN,149,0.000241048,0.431419,
0006.png,KAZE,1756,0.239971,1,207,0,207,0.00753949,10.35,77.3529,KAZE,0.180129,0.420101,MAT_BF,DES_HOG,SEL_KNN,153,0.000300145,0.420401,
0007.png,KAZE,1743,0.239489,1,211,0,211,0.00772029,10.2853,76.9923,KAZE,0.178402,0.41789,MAT_BF,DES_HOG,SEL_KNN,160,0.000264762,0.418155,
0008.png,KAZE,1817,0.245447,1,220,0,220,0.00737944,9.54881,66.0518,KAZE,0.179899,0.425346,MAT_BF,DES_HOG,SEL_KNN,163,0.0002556,0.425602,
0009.png,KAZE,1817,0.249284,1,216,0,216,0.00739091,9.65133,72.5954,KAZE,0.18727,0.436554,MAT_BF,DES_HOG,SEL_KNN,178,0.000260213,0.436814,
cumulated sum,,17863,,,2026,,2026,,,,,,,,,,1393,,,
average values,,,0.244794,,,,,0.00760396,9.90569,70.2249,,0.180457,0.425251,,,,,0.000225873,0.425477,
