imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,KAZE,1826,0.240963,1,206,0,206,0.00787833,10.3394,73.4349,ORB,0.0029244,0.243887,,,,0,0,0.243887,
0001.png,KAZE,1804,0.252946,1,184,0,184,0.0077327,9.71678,69.717,ORB,0.00283533,0.255782,MAT_BF,DES_BINARY,SEL_KNN,143,0.000339259,0.256121,
0002.png,KAZE,1772,0.242136,1,197,0,197,0.00800459,9.82327,70.2521,ORB,0.00286524,0.245001,MAT_BF,DES_BINARY,SEL_KNN,141,0.000309722,0.245311,
0003.png,KAZE,1795,0.232111,1,193,0,193,0.00744898,9.75182,66.3049,ORB,0.0027973,0.234908,MAT_BF,DES_BINARY,SEL_KNN,135,0.000343862,0.235252,
0004.png,KAZE,1782,0.240414,1,199,0,199,0.00754405,9.78736,65.0701,ORB,0.00297115,0.243385,MAT_BF,DES_BINARY,SEL_KNN,144,0.000326968,0.243712,
0005.png,KAZE,1751,0.249347,1,193,0,193,0.00740082,9.80277,64.4778,ORB,0.00292006,0.252267,MAT_BF,DES_BINARY,SEL_KNN,137,0.000306124,0.252574,
0006.png,KAZE,1756,0.236783,1,207,0,207,0.00753949,10.35,77.3529,ORB,0.00290493,0.239688,MAT_BF,DES_BINARY,SEL_KNN,142,0.000256607,0.239944,
0007.png,KAZE,1743,0.242285,1,211,0,211,0.00772029,10.2853,76.9923,ORB,0.00299776,0.245283,MAT_BF,DES_BINARY,SEL_KNN,155,0.000320216,0.245603,
0008.png,KAZE,1817,0.239731,1,220,0,220,0.00737944,9.54881,66.0518,ORB,0.00292139,0.242653,MAT_BF,DES_BINARY,SEL_KNN,165,0.000366271,0.243019,
0009.png,KAZE,1817,0.238632,1,216,0,216,0.00739091,9.65133,72.5954,ORB,0.00289273,0.241525,MAT_BF,DES_BINARY,SEL_KNN,165,0.000351124,0.241876,
cumulated sum,,17863,,,2026,,2026,,,,,,,,,,1327,,,
average values,,,0.241535,,,,,0.00760396,9.90569,70.2249,,0.00290303,0.244438,,,,,0.000292015,0.24473,
