imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,KAZE,1826,0.237622,1,206,0,206,0.00787833,10.3394,73.4349,SIFT,0.0215282,0.259151,,,,0,0,0.259151,
0001.png,KAZE,1804,0.230409,1,184,0,184,0.0077327,9.71678,69.717,SIFT,0.0178019,0.248211,MAT_BF,DES_HOG,SEL_KNN,179,0.00035117,0.248562,
0002.png,KAZE,1772,0.225538,1,197,0,197,0.00800459,9.82327,70.2521,SIFT,0.0179157,0.243454,MAT_BF,DES_HOG,SEL_KNN,159,0.000341891,0.243796,
0003.png,KAZE,1795,0.245771,1,193,0,193,0.00744898,9.75182,66.3049,SIFT,0.0180553,0.263827,MAT_BF,DES_HOG,SEL_KNN,165,0.000278396,0.264105,
0004.png,KAZE,1782,0.232639,1,199,0,199,0.00754405,9.78736,65.0701,SIFT,0.0173236,0.249963,MAT_BF,DES_HOG,SEL_KNN,175,0.000376332,0.250339,
0005.png,KAZE,1751,0.240815,1,193,0,193,0.00740082,9.80277,64.4778,SIFT,0.0171035,0.257918,MAT_BF,DES_HOG,SEL_KNN,167,0.000298896,0.258217,
0006.png,KAZE,1756,0.234459,1,207,0,207,0.00753949,10.35,77.3529,SIFT,0.0182526,0.252712,MAT_BF,DES_HOG,SEL_KNN,175,0.000400476,0.253112,
0007.png,KAZE,1743,0.234492,1,211,0,211,0.00772029,10.2853,76.9923,SIFT,0.017002,0.251494,MAT_BF,DES_HOG,SEL_KNN,180,0.000326642,0.25182,
0008.png,KAZE,1817,0.231497,1,220,0,220,0.00737944,9.54881,66.0518,SIFT,0.0193994,0.250897,MAT_BF,DES_HOG,SEL_KNN,182,0.00034248,0.251239,
0009.png,KAZE,1817,0.228281,1,216,0,216,0.00739091,9.65133,72.5954,SIFT,0.0179444,0.246225,MAT_BF,DES_HOG,SEL_KNN,193,0.000379624,0.246605,
cumulated sum,,17863,,,2026,,2026,,,,,,,,,,1575,,,
average values,,,0.234152,,,,,0.00760396,9.90569,70.2249,,0.0182326,0.252385,,,,,0.000309591,0.252695,
