imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,KAZE,1826,0.238718,1,206,0,206,0.00787833,10.3394,73.4349,SURF,0.00206023,0.240779,,,,0,0,0.240779,
0001.png,KAZE,1804,0.244066,1,184,0,184,0.0077327,9.71678,69.717,SURF,0.00185914,0.245925,MAT_BF,DES_HOG,SEL_KNN,138,0.000276034,0.246201,
0002.png,KAZE,1772,0.232921,1,197,0,197,0.00800459,9.82327,70.2521,SURF,0.00244215,0.235363,MAT_BF,DES_HOG,SEL_KNN,124,0.000253483,0.235617,
0003.png,KAZE,1795,0.241282,1,193,0,193,0.00744898,9.75182,66.3049,SURF,0.00184998,0.243132,MAT_BF,DES_HOG,SEL_KNN,123,0.000238869,0.243371,
0004.png,KAZE,1782,0.24267,1,199,0,199,0.00754405,9.78736,65.0701,SURF,0.00195041,0.24462,MAT_BF,DES_HOG,SEL_KNN,138,0.00032844,0.244949,
0005.png,KAZE,1751,0.244816,1,193,0,193,0.00740082,9.80277,64.4778,SURF,0.00237474,0.247191,MAT_BF,DES_HOG,SEL_KNN,135,0.000304497,0.247496,
0006.png,KAZE,1756,0.234572,1,207,0,207,0.00753949,10.35,77.3529,SURF,0.00214682,0.236719,MAT_BF,DES_HOG,SEL_KNN,138,0.000308272,0.237027,
0007.png,KAZE,1743,0.23694,1,211,0,211,0.00772029,10.2853,76.9923,SURF,0.00201612,0.238956,MAT_BF,DES_HOG,SEL_KNN,158,0.000337903,0.239294,
0008.png,KAZE,1817,0.247113,1,220,0,220,0.00737944,9.54881,66.0518,SURF,0.00254672,0.24966,MAT_BF,DES_HOG,SEL_KNN,147,0.000304663,0.249965,
0009.png,KAZE,1817,0.247421,1,216,0,216,0.00739091,9.65133,72.5954,SURF,0.00204872,0.24947,MAT_BF,DES_HOG,SEL_KNN,158,0.000270312,0.24974,
cumulated sum,,17863,,,2026,,2026,,,,,,,,,,1259,,,
average values,,,0.241052,,,,,0.00760396,9.90569,70.2249,,0.0021295,0.243182,,,,,0.000262247,0.243444,
