imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,ORB,500,0.00602458,1,92,0,92,0.00373517,57.0723,661.073,AKAZE,0,0.00602458,,,,0,0,0.00602458,
0001.png,ORB,500,0.0058598,1,102,0,102,0.00374825,57.2273,680.589,AKAZE,0,0.0058598,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0058598,
0002.png,ORB,500,0.0062563,1,106,0,106,0.00378307,56.4948,672.109,AKAZE,0,0.0062563,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0062563,
0003.png,ORB,500,0.00589446,1,113,0,113,0.00354859,55.1436,629.784,AKAZE,0,0.00589446,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00589446,
0004.png,ORB,500,0.00584095,1,109,0,109,0.0035164,56.7442,625.649,AKAZE,0,0.00584095,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00584095,
0005.png,ORB,500,0.00602233,1,125,0,125,0.00348318,56.6367,596.796,AKAZE,0,0.00602233,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00602233,
0006.png,ORB,500,0.005948,1,130,0,130,0.00339045,56.7683,646.396,AKAZE,0,0.005948,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.005948,
0007.png,ORB,500,0.00586235,1,129,0,129,0.00363458,55.4296,611.86,AKAZE,0,0.00586235,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00586235,
0008.png,ORB,500,0.00652579,1,127,0,127,0.00354466,54.6723,638.084,AKAZE,0,0.00652579,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00652579,
0009.png,ORB,500,0.00676935,1,128,0,128,0.00362469,54.3886,560.291,AKAZE,0,0.00676935,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00676935,
cumulated sum,,5000,,,1161,,1161,,,,,,,,,,-9,,,
average values,,,0.00610039,,,,,0.0036009,56.0578,632.263,,0,0.00610039,,,,,0,0.00610039,
