imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,ORB,500,0.00630596,1,92,0,92,0.00373517,57.0723,661.073,BRIEF,0.000583346,0.00688931,,,,0,0,0.00688931,
0001.png,ORB,500,0.00589161,1,102,0,102,0.00374825,57.2273,680.589,BRIEF,0.000395007,0.00628662,MAT_BF,DES_BINARY,SEL_KNN,49,0.000138575,0.0064252,
0002.png,ORB,500,0.00580025,1,106,0,106,0.00378307,56.4948,672.109,BRIEF,0.000457249,0.0062575,MAT_BF,DES_BINARY,SEL_KNN,43,0.00016042,0.00641791,
0003.png,ORB,500,0.00618487,1,113,0,113,0.00354859,55.1436,629.784,BRIEF,0.000428225,0.00661309,MAT_BF,DES_BINARY,SEL_KNN,45,0.000154286,0.00676738,
0004.png,ORB,500,0.00653045,1,109,0,109,0.0035164,56.7442,625.649,BRIEF,0.000465168,0.00699561,MAT_BF,DES_BINARY,SEL_KNN,59,0.000167146,0.00716276,
0005.png,ORB,500,0.00584401,1,125,0,125,0.00348318,56.6367,596.796,BRIEF,0.00044537,0.00628938,MAT_BF,DES_BINARY,SEL_KNN,53,0.000171516,0.0064609,
0006.png,ORB,500,0.00580768,1,130,0,130,0.00339045,56.7683,646.396,BRIEF,0.000462697,0.00627037,MAT_BF,DES_BINARY,SEL_KNN,78,0.000173055,0.00644343,
0007.png,ORB,500,0.0058967,1,129,0,129,0.00363458,55.4296,611.86,BRIEF,0.000614662,0.00651136,MAT_BF,DES_BINARY,SEL_KNN,68,0.000210602,0.00672196,
0008.png,ORB,500,0.00621213,1,127,0,127,0.00354466,54.6723,638.084,BRIEF,0.000461581,0.00667371,MAT_BF,DES_BINARY,SEL_KNN,84,0.000206034,0.00687975,
0009.png,ORB,500,0.00610707,1,128,0,128,0.00362469,54.3886,560.291,BRIEF,0.000745069,0.00685214,MAT_BF,DES_BINARY,SEL_KNN,66,0.000271561,0.0071237,
cumulated sum,,5000,,,1161,,1161,,,,,,,,,,545,,,
average values,,,0.00605807,,,,,0.0036009,56.0578,632.263,,0.000505837,0.00656391,,,,,0.00016532,0.00672923,
