imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,ORB,500,0.00608609,1,92,0,92,0.00373517,57.0723,661.073,BRISK,0.000943102,0.00702919,,,,0,0,0.00702919,
0001.png,ORB,500,0.00587247,1,102,0,102,0.00374825,57.2273,680.589,BRISK,0.00099825,0.00687072,MAT_BF,DES_BINARY,SEL_KNN,73,0.000249608,0.00712032,
0002.png,ORB,500,0.00584762,1,106,0,106,0.00378307,56.4948,672.109,BRISK,0.00104827,0.00689588,MAT_BF,DES_BINARY,SEL_KNN,74,0.000211527,0.00710741,
0003.png,ORB,500,0.00605618,1,113,0,113,0.00354859,55.1436,629.784,BRISK,0.00106803,0.00712421,MAT_BF,DES_BINARY,SEL_KNN,79,0.000216709,0.00734092,
0004.png,ORB,500,0.00599917,1,109,0,109,0.0035164,56.7442,625.649,BRISK,0.0010541,0.00705328,MAT_BF,DES_BINARY,SEL_KNN,85,0.000233367,0.00728664,
0005.png,ORB,500,0.005894,1,125,0,125,0.00348318,56.6367,596.796,BRISK,0.00117407,0.00706807,MAT_BF,DES_BINARY,SEL_KNN,79,0.00027004,0.00733811,
0006.png,ORB,500,0.00621238,1,130,0,130,0.00339045,56.7683,646.396,BRISK,0.00121463,0.00742701,MAT_BF,DES_BINARY,SEL_KNN,92,0.000252471,0.00767948,
0007.png,ORB,500,0.00605521,1,129,0,129,0.00363458,55.4296,611.86,BRISK,0.00131862,0.00737383,MAT_BF,DES_BINARY,SEL_KNN,90,0.00025236,0.00762619,
0008.png,ORB,500,0.00587437,1,127,0,127,0.00354466,54.6723,638.084,BRISK,0.00120057,0.00707493,MAT_BF,DES_BINARY,SEL_KNN,88,0.000275279,0.00735021,
0009.png,ORB,500,0.00618085,1,128,0,128,0.00362469,54.3886,560.291,BRISK,0.00121146,0.00739231,MAT_BF,DES_BINARY,SEL_KNN,91,0.000284985,0.00767729,
cumulated sum,,5000,,,1161,,1161,,,,,,,,,,751,,,
average values,,,0.00600783,,,,,0.0036009,56.0578,632.263,,0.00112311,0.00713094,,,,,0.000224635,0.00735558,
