imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,ORB,500,0.00612624,1,92,0,92,0.00373517,57.0723,661.073,FREAK,0.030099,0.0362253,,,,0,0,0.0362253,
0001.png,ORB,500,0.00663039,1,102,0,102,0.00374825,57.2273,680.589,FREAK,0.029261,0.0358914,MAT_BF,DES_BINARY,SEL_KNN,42,0.00013827,0.0360297,
0002.png,ORB,500,0.00606389,1,106,0,106,0.00378307,56.4948,672.109,FREAK,0.0281411,0.034205,MAT_BF,DES_BINARY,SEL_KNN,36,0.000166448,0.0343714,
0003.png,ORB,500,0.0056461,1,113,0,113,0.00354859,55.1436,629.784,FREAK,0.0276068,0.0332529,MAT_BF,DES_BINARY,SEL_KNN,44,0.000207217,0.0334602,
0004.png,ORB,500,0.00606398,1,109,0,109,0.0035164,56.7442,625.649,FREAK,0.0273837,0.0334477,MAT_BF,DES_BINARY,SEL_KNN,47,0.000200427,0.0336481,
0005.png,ORB,500,0.00608221,1,125,0,125,0.00348318,56.6367,596.796,FREAK,0.0291159,0.0351981,MAT_BF,DES_BINARY,SEL_KNN,44,0.000106866,0.0353049,
0006.png,ORB,500,0.00606576,1,130,0,130,0.00339045,56.7683,646.396,FREAK,0.028787,0.0348528,MAT_BF,DES_BINARY,SEL_KNN,51,0.000144269,0.034997,
0007.png,ORB,500,0.00641827,1,129,0,129,0.00363458,55.4296,611.86,FREAK,0.0267367,0.033155,MAT_BF,DES_BINARY,SEL_KNN,52,0.000162437,0.0333174,
0008.png,ORB,500,0.0061259,1,127,0,127,0.00354466,54.6723,638.084,FREAK,0.0277018,0.0338277,MAT_BF,DES_BINARY,SEL_KNN,48,0.000220429,0.0340481,
0009.png,ORB,500,0.0061922,1,128,0,128,0.00362469,54.3886,560.291,FREAK,0.0269859,0.0331781,MAT_BF,DES_BINARY,SEL_KNN,56,0.000197581,0.0333757,
cumulated sum,,5000,,,1161,,1161,,,,,,,,,,420,,,
average values,,,0.00614149,,,,,0.0036009,56.0578,632.263,,0.0281819,0.0343234,,,,,0.000154394,0.0344778,
