imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,ORB,500,0.00627212,1,92,0,92,0.00373517,57.0723,661.073,KAZE,0,0.00627212,,,,0,0,0.00627212,
0001.png,ORB,500,0.00585276,1,102,0,102,0.00374825,57.2273,680.589,KAZE,0,0.00585276,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00585276,
0002.png,ORB,500,0.00610401,1,106,0,106,0.00378307,56.4948,672.109,KAZE,0,0.00610401,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00610401,
0003.png,ORB,500,0.00629988,1,113,0,113,0.00354859,55.1436,629.784,KAZE,0,0.00629988,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00629988,
0004.png,ORB,500,0.00581562,1,109,0,109,0.0035164,56.7442,625.649,KAZE,0,0.00581562,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00581562,
0005.png,ORB,500,0.00611504,1,125,0,125,0.00348318,56.6367,596.796,KAZE,0,0.00611504,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00611504,
0006.png,ORB,500,0.00623388,1,130,0,130,0.00339045,56.7683,646.396,KAZE,0,0.00623388,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00623388,
0007.png,ORB,500,0.00612283,1,129,0,129,0.00363458,55.4296,611.86,KAZE,0,0.00612283,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00612283,
0008.png,ORB,500,0.0061531,1,127,0,127,0.00354466,54.6723,638.084,KAZE,0,0.0061531,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0061531,
0009.png,ORB,500,0.00629187,1,128,0,128,0.00362469,54.3886,560.291,KAZE,0,0.00629187,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00629187,
cumulated sum,,5000,,,1161,,1161,,,,,,,,,,-9,,,
average values,,,0.00612611,,,,,0.0036009,56.0578,632.263,,0,0.00612611,,,,,0,0.00612611,
