imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,ORB,500,0.00619502,1,92,0,92,0.00373517,57.0723,661.073,ORB,0.0036889,0.00988392,,,,0,0,0.00988392,
0001.png,ORB,500,0.00603289,1,102,0,102,0.00374825,57.2273,680.589,ORB,0.00415131,0.0101842,MAT_BF,DES_BINARY,SEL_KNN,67,0.000154934,0.0103391,
0002.png,ORB,500,0.00588032,1,106,0,106,0.00378307,56.4948,672.109,ORB,0.00467439,0.0105547,MAT_BF,DES_BINARY,SEL_KNN,70,0.00017965,0.0107344,
0003.png,ORB,500,0.00592531,1,113,0,113,0.00354859,55.1436,629.784,ORB,0.00382938,0.00975468,MAT_BF,DES_BINARY,SEL_KNN,72,0.00011337,0.00986805,
0004.png,ORB,500,0.00607581,1,109,0,109,0.0035164,56.7442,625.649,ORB,0.00435958,0.0104354,MAT_BF,DES_BINARY,SEL_KNN,84,0.000144677,0.0105801,
0005.png,ORB,500,0.00707749,1,125,0,125,0.00348318,56.6367,596.796,ORB,0.00403711,0.0111146,MAT_BF,DES_BINARY,SEL_KNN,91,0.000150046,0.0112647,
0006.png,ORB,500,0.00619803,1,130,0,130,0.00339045,56.7683,646.396,ORB,0.00391122,0.0101093,MAT_BF,DES_BINARY,SEL_KNN,101,0.00019045,0.0102997,
0007.png,ORB,500,0.00586166,1,129,0,129,0.00363458,55.4296,611.86,ORB,0.00391507,0.00977673,MAT_BF,DES_BINARY,SEL_KNN,92,0.000189271,0.009966,
0008.png,ORB,500,0.00597665,1,127,0,127,0.00354466,54.6723,638.084,ORB,0.0038549,0.00983155,MAT_BF,DES_BINARY,SEL_KNN,93,0.000139311,0.00997086,
0009.png,ORB,500,0.00595308,1,128,0,128,0.00362469,54.3886,560.291,ORB,0.00391953,0.00987261,MAT_BF,DES_BINARY,SEL_KNN,93,0.000148504,0.0100211,
cumulated sum,,5000,,,1161,,1161,,,,,,,,,,763,,,
average values,,,0.00611763,,,,,0.0036009,56.0578,632.263,,0.00403414,0.0101518,,,,,0.000141021,0.0102928,
