imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,ORB,500,0.00602873,1,92,0,92,0.00373517,57.0723,661.073,SIFT,0.0271394,0.0331681,,,,0,0,0.0331681,
0001.png,ORB,500,0.0058716,1,102,0,102,0.00374825,57.2273,680.589,SIFT,0.0262912,0.0321628,MAT_BF,DES_HOG,SEL_KNN,67,0.000200571,0.0323634,
0002.png,ORB,500,0.00607966,1,106,0,106,0.00378307,56.4948,672.109,SIFT,0.0300955,0.0361752,MAT_BF,DES_HOG,SEL_KNN,79,0.000249667,0.0364248,
0003.png,ORB,500,0.00568412,1,113,0,113,0.00354859,55.1436,629.784,SIFT,0.0279261,0.0336102,MAT_BF,DES_HOG,SEL_KNN,78,0.000231328,0.0338416,
0004.png,ORB,500,0.00616877,1,109,0,109,0.0035164,56.7442,625.649,SIFT,0.0296735,0.0358422,MAT_BF,DES_HOG,SEL_KNN,79,0.000281201,0.0361234,
0005.png,ORB,500,0.00562431,1,125,0,125,0.00348318,56.6367,596.796,SIFT,0.0298487,0.035473,MAT_BF,DES_HOG,SEL_KNN,82,0.000176322,0.0356493,
0006.png,ORB,500,0.00584591,1,130,0,130,0.00339045,56.7683,646.396,SIFT,0.029729,0.0355749,MAT_BF,DES_HOG,SEL_KNN,95,0.000230014,0.0358049,
0007.png,ORB,500,0.00603409,1,129,0,129,0.00363458,55.4296,611.86,SIFT,0.0290002,0.0350343,MAT_BF,DES_HOG,SEL_KNN,95,0.000229074,0.0352634,
0008.png,ORB,500,0.00568133,1,127,0,127,0.00354466,54.6723,638.084,SIFT,0.0299178,0.0355991,MAT_BF,DES_HOG,SEL_KNN,94,0.000211835,0.035811,
0009.png,ORB,500,0.00609178,1,128,0,128,0.00362469,54.3886,560.291,SIFT,0.0283867,0.0344785,MAT_BF,DES_HOG,SEL_KNN,94,0.000231063,0.0347096,
cumulated sum,,5000,,,1161,,1161,,,,,,,,,,763,,,
average values,,,0.00591103,,,,,0.0036009,56.0578,632.263,,0.0288008,0.0347118,,,,,0.000204108,0.034916,
