imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,ORB,500,0.00615362,1,92,0,92,0.00373517,57.0723,661.073,SURF,0.00812749,0.0142811,,,,0,0,0.0142811,
0001.png,ORB,500,0.00647176,1,102,0,102,0.00374825,57.2273,680.589,SURF,0.00934471,0.0158165,MAT_BF,DES_HOG,SEL_KNN,63,0.000194252,0.0160107,
0002.png,ORB,500,0.00583929,1,106,0,106,0.00378307,56.4948,672.109,SURF,0.00882535,0.0146646,MAT_BF,DES_HOG,SEL_KNN,68,0.000143535,0.0148082,
0003.png,ORB,500,0.00600101,1,113,0,113,0.00354859,55.1436,629.784,SURF,0.00883648,0.0148375,MAT_BF,DES_HOG,SEL_KNN,66,0.000176582,0.0150141,
0004.png,ORB,500,0.00573386,1,109,0,109,0.0035164,56.7442,625.649,SURF,0.00946309,0.0151969,MAT_BF,DES_HOG,SEL_KNN,79,0.000157399,0.0153543,
0005.png,ORB,500,0.00558073,1,125,0,125,0.00348318,56.6367,596.796,SURF,0.0103551,0.0159359,MAT_BF,DES_HOG,SEL_KNN,86,0.0001708,0.0161067,
0006.png,ORB,500,0.00572717,1,130,0,130,0.00339045,56.7683,646.396,SURF,0.0110144,0.0167416,MAT_BF,DES_HOG,SEL_KNN,92,0.000204054,0.0169457,
0007.png,ORB,500,0.00590599,1,129,0,129,0.00363458,55.4296,611.86,SURF,0.0101237,0.0160297,MAT_BF,DES_HOG,SEL_KNN,87,0.000179254,0.016209,
0008.png,ORB,500,0.00583913,1,127,0,127,0.00354466,54.6723,638.084,SURF,0.0104717,0.0163109,MAT_BF,DES_HOG,SEL_KNN,88,0.000169364,0.0164802,
0009.png,ORB,500,0.00604426,1,128,0,128,0.00362469,54.3886,560.291,SURF,0.0115886,0.0176329,MAT_BF,DES_HOG,SEL_KNN,101,0.000175678,0.0178086,
cumulated sum,,5000,,,1161,,1161,,,,,,,,,,730,,,
average values,,,0.00592968,,,,,0.0036009,56.0578,632.263,,0.00981508,0.0157448,,,,,0.000157092,0.0159019,
