imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SHITOMASI,1370,0.00870554,1,125,0,125,0,4,0,AKAZE,0,0.00870554,,,,0,0,0.00870554,
0001.png,SHITOMASI,1301,0.00862724,1,118,0,118,0,4,0,AKAZE,0,0.00862724,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00862724,
0002.png,SHITOMASI,1361,0.0087518,1,123,0,123,0,4,0,AKAZE,0,0.0087518,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0087518,
0003.png,SHITOMASI,1358,0.00918669,1,120,0,120,0,4,0,AKAZE,0,0.00918669,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00918669,
0004.png,SHITOMASI,1333,0.0102976,1,120,0,120,0,4,0,AKAZE,0,0.0102976,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0102976,
0005.png,SHITOMASI,1284,0.00995982,1,113,0,113,0,4,0,AKAZE,0,0.00995982,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00995982,
0006.png,SHITOMASI,1322,0.00886963,1,114,0,114,0,4,0,AKAZE,0,0.00886963,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00886963,
0007.png,SHITOMASI,1366,0.00848168,1,123,0,123,0,4,0,AKAZE,0,0.00848168,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00848168,
0008.png,SHITOMASI,1389,0.00861585,1,111,0,111,0,4,0,AKAZE,0,0.00861585,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00861585,
0009.png,SHITOMASI,1339,0.00852455,1,112,0,112,0,4,0,AKAZE,0,0.00852455,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.00852455,
cumulated sum,,13423,,,1179,,1179,,,,,,,,,,-9,,,
average values,,,0.00900204,,,,,0,4,0,,0,0.00900204,,,,,0,0.00900204,
