imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SHITOMASI,1370,0.00998739,1,125,0,125,0,4,0,BRIEF,0.000999793,0.0109872,,,,0,0,0.0109872,
0001.png,SHITOMASI,1301,0.0125343,1,118,0,118,0,4,0,BRIEF,0.000968596,0.0135029,MAT_BF,DES_BINARY,SEL_KNN,115,0.000180559,0.0136835,
0002.png,SHITOMASI,1361,0.0111684,1,123,0,123,0,4,0,BRIEF,0.000453392,0.0116218,MAT_BF,DES_BINARY,SEL_KNN,111,0.000214408,0.0118362,
0003.png,SHITOMASI,1358,0.0103498,1,120,0,120,0,4,0,BRIEF,0.000963956,0.0113138,MAT_BF,DES_BINARY,SEL_KNN,104,0.000245461,0.0115592,
0004.png,SHITOMASI,1333,0.0115114,1,120,0,120,0,4,0,BRIEF,0.000924158,0.0124356,MAT_BF,DES_BINARY,SEL_KNN,101,0.000193527,0.0126291,
0005.png,SHITOMASI,1284,0.011503,1,113,0,113,0,4,0,BRIEF,0.000427865,0.0119308,MAT_BF,DES_BINARY,SEL_KNN,102,0.00021943,0.0121503,
0006.png,SHITOMASI,1322,0.00880895,1,114,0,114,0,4,0,BRIEF,0.00046594,0.00927489,MAT_BF,DES_BINARY,SEL_KNN,102,0.000152135,0.00942702,
0007.png,SHITOMASI,1366,0.00873035,1,123,0,123,0,4,0,BRIEF,0.000608901,0.00933925,MAT_BF,DES_BINARY,SEL_KNN,100,0.000204861,0.00954412,
0008.png,SHITOMASI,1389,0.00859254,1,111,0,111,0,4,0,BRIEF,0.000438785,0.00903133,MAT_BF,DES_BINARY,SEL_KNN,109,0.000222201,0.00925353,
0009.png,SHITOMASI,1339,0.0084119,1,112,0,112,0,4,0,BRIEF,0.000460527,0.00887242,MAT_BF,DES_BINARY,SEL_KNN,100,0.000192016,0.00906444,
cumulated sum,,13423,,,1179,,1179,,,,,,,,,,944,,,
average values,,,0.0101598,,,,,0,4,0,,0.000671191,0.010831,,,,,0.00018246,0.0110135,
