imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SHITOMASI,1370,0.0153927,1,125,0,125,0,4,0,BRISK,0.00169109,0.0170838,,,,0,0,0.0170838,
0001.png,SHITOMASI,1301,0.0112814,1,118,0,118,0,4,0,BRISK,0.00113543,0.0124169,MAT_BF,DES_BINARY,SEL_KNN,95,0.000310645,0.0127275,
0002.png,SHITOMASI,1361,0.00921811,1,123,0,123,0,4,0,BRISK,0.00114755,0.0103657,MAT_BF,DES_BINARY,SEL_KNN,88,0.000265321,0.010631,
0003.png,SHITOMASI,1358,0.0087384,1,120,0,120,0,4,0,BRISK,0.0011332,0.0098716,MAT_BF,DES_BINARY,SEL_KNN,80,0.000269031,0.0101406,
0004.png,SHITOMASI,1333,0.00940474,1,120,0,120,0,4,0,BRISK,0.0011279,0.0105326,MAT_BF,DES_BINARY,SEL_KNN,90,0.000267654,0.0108003,
0005.png,SHITOMASI,1284,0.00912649,1,113,0,113,0,4,0,BRISK,0.00107951,0.010206,MAT_BF,DES_BINARY,SEL_KNN,82,0.00026848,0.0104745,
0006.png,SHITOMASI,1322,0.00900903,1,114,0,114,0,4,0,BRISK,0.00107749,0.0100865,MAT_BF,DES_BINARY,SEL_KNN,79,0.000252188,0.0103387,
0007.png,SHITOMASI,1366,0.00903772,1,123,0,123,0,4,0,BRISK,0.00115002,0.0101877,MAT_BF,DES_BINARY,SEL_KNN,85,0.000235236,0.010423,
0008.png,SHITOMASI,1389,0.00874456,1,111,0,111,0,4,0,BRISK,0.00105944,0.009804,MAT_BF,DES_BINARY,SEL_KNN,86,0.000226965,0.010031,
0009.png,SHITOMASI,1339,0.00927626,1,112,0,112,0,4,0,BRISK,0.00106635,0.0103426,MAT_BF,DES_BINARY,SEL_KNN,82,0.000268227,0.0106108,
cumulated sum,,13423,,,1179,,1179,,,,,,,,,,767,,,
average values,,,0.00992294,,,,,0,4,0,,0.0011668,0.0110897,,,,,0.000236375,0.0113261,
