imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SHITOMASI,1370,0.0098631,1,125,0,125,0,4,0,FREAK,0.0324934,0.0423565,,,,0,0,0.0423565,
0001.png,SHITOMASI,1301,0.0131812,1,118,0,118,0,4,0,FREAK,0.0308318,0.044013,MAT_BF,DES_BINARY,SEL_KNN,86,0.000302535,0.0443156,
0002.png,SHITOMASI,1361,0.00870564,1,123,0,123,0,4,0,FREAK,0.0280305,0.0367362,MAT_BF,DES_BINARY,SEL_KNN,90,0.000243756,0.0369799,
0003.png,SHITOMASI,1358,0.00861091,1,120,0,120,0,4,0,FREAK,0.0279866,0.0365975,MAT_BF,DES_BINARY,SEL_KNN,86,0.00026332,0.0368608,
0004.png,SHITOMASI,1333,0.00945595,1,120,0,120,0,4,0,FREAK,0.0308084,0.0402644,MAT_BF,DES_BINARY,SEL_KNN,88,0.000235864,0.0405002,
0005.png,SHITOMASI,1284,0.00894418,1,113,0,113,0,4,0,FREAK,0.0275345,0.0364787,MAT_BF,DES_BINARY,SEL_KNN,86,0.000251624,0.0367303,
0006.png,SHITOMASI,1322,0.00872421,1,114,0,114,0,4,0,FREAK,0.0279937,0.0367179,MAT_BF,DES_BINARY,SEL_KNN,80,0.000218121,0.0369361,
0007.png,SHITOMASI,1366,0.00870599,1,123,0,123,0,4,0,FREAK,0.0274357,0.0361417,MAT_BF,DES_BINARY,SEL_KNN,81,0.000297616,0.0364393,
0008.png,SHITOMASI,1389,0.00837741,1,111,0,111,0,4,0,FREAK,0.0278198,0.0361972,MAT_BF,DES_BINARY,SEL_KNN,86,0.000274575,0.0364717,
0009.png,SHITOMASI,1339,0.00871298,1,112,0,112,0,4,0,FREAK,0.0284623,0.0371753,MAT_BF,DES_BINARY,SEL_KNN,85,0.000232862,0.0374081,
cumulated sum,,13423,,,1179,,1179,,,,,,,,,,768,,,
average values,,,0.00932816,,,,,0,4,0,,0.0289397,0.0382678,,,,,0.000232027,0.0384999,
