imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SHITOMASI,1370,0.00910513,1,125,0,125,0,4,0,KAZE,0,0.00910513,,,,0,0,0.00910513,
0001.png,SHITOMASI,1301,0.00882476,1,118,0,118,0,4,0,KAZE,0,0.00882476,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00882476,
0002.png,SHITOMASI,1361,0.00891536,1,123,0,123,0,4,0,KAZE,0,0.00891536,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00891536,
0003.png,SHITOMASI,1358,0.00860648,1,120,0,120,0,4,0,KAZE,0,0.00860648,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00860648,
0004.png,SHITOMASI,1333,0.00849903,1,120,0,120,0,4,0,KAZE,0,0.00849903,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00849903,
0005.png,SHITOMASI,1284,0.0090484,1,113,0,113,0,4,0,KAZE,0,0.0090484,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0090484,
0006.png,SHITOMASI,1322,0.00935306,1,114,0,114,0,4,0,KAZE,0,0.00935306,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00935306,
0007.png,SHITOMASI,1366,0.00878243,1,123,0,123,0,4,0,KAZE,0,0.00878243,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00878243,
0008.png,SHITOMASI,1389,0.00922859,1,111,0,111,0,4,0,KAZE,0,0.00922859,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00922859,
0009.png,SHITOMASI,1339,0.00892139,1,112,0,112,0,4,0,KAZE,0,0.00892139,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.00892139,
cumulated sum,,13423,,,1179,,1179,,,,,,,,,,-9,,,
average values,,,0.00892846,,,,,0,4,0,,0,0.00892846,,,,,0,0.00892846,
