imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SHITOMASI,1370,0.00835826,1,125,0,125,0,4,0,ORB,0.000802105,0.00916036,,,,0,0,0.00916036,
0001.png,SHITOMASI,1301,0.00925924,1,118,0,118,0,4,0,ORB,0.00082261,0.0100819,MAT_BF,DES_BINARY,SEL_KNN,106,0.000232527,0.0103144,
0002.png,SHITOMASI,1361,0.0140204,1,123,0,123,0,4,0,ORB,0.00090845,0.0149288,MAT_BF,DES_BINARY,SEL_KNN,102,0.000229755,0.0151586,
0003.png,SHITOMASI,1358,0.0121058,1,120,0,120,0,4,0,ORB,0.000939107,0.0130449,MAT_BF,DES_BINARY,SEL_KNN,99,0.000217636,0.0132625,
0004.png,SHITOMASI,1333,0.0100365,1,120,0,120,0,4,0,ORB,0.00111465,0.0111511,MAT_BF,DES_BINARY,SEL_KNN,102,0.000187816,0.0113389,
0005.png,SHITOMASI,1284,0.0126952,1,113,0,113,0,4,0,ORB,0.00079994,0.0134952,MAT_BF,DES_BINARY,SEL_KNN,103,0.000215446,0.0137106,
0006.png,SHITOMASI,1322,0.0116517,1,114,0,114,0,4,0,ORB,0.0009398,0.0125915,MAT_BF,DES_BINARY,SEL_KNN,97,0.000206834,0.0127983,
0007.png,SHITOMASI,1366,0.00946331,1,123,0,123,0,4,0,ORB,0.000783618,0.0102469,MAT_BF,DES_BINARY,SEL_KNN,98,0.000197739,0.0104447,
0008.png,SHITOMASI,1389,0.0129541,1,111,0,111,0,4,0,ORB,0.000808706,0.0137628,MAT_BF,DES_BINARY,SEL_KNN,104,0.000198972,0.0139618,
0009.png,SHITOMASI,1339,0.0112523,1,112,0,112,0,4,0,ORB,0.000885711,0.012138,MAT_BF,DES_BINARY,SEL_KNN,97,0.000200259,0.0123383,
cumulated sum,,13423,,,1179,,1179,,,,,,,,,,908,,,
average values,,,0.0111797,,,,,0,4,0,,0.00088047,0.0120601,,,,,0.000188698,0.0122488,
