imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SHITOMASI,1370,0.00921062,1,125,0,125,0,4,0,SIFT,0.0136884,0.022899,,,,0,0,0.022899,
0001.png,SHITOMASI,1301,0.00844225,1,118,0,118,0,4,0,SIFT,0.0123638,0.0208061,MAT_BF,DES_HOG,SEL_KNN,112,0.000152037,0.0209581,
0002.png,SHITOMASI,1361,0.00998869,1,123,0,123,0,4,0,SIFT,0.0136717,0.0236604,MAT_BF,DES_HOG,SEL_KNN,109,0.000138546,0.023799,
0003.png,SHITOMASI,1358,0.00943344,1,120,0,120,0,4,0,SIFT,0.012642,0.0220755,MAT_BF,DES_HOG,SEL_KNN,104,0.000148507,0.022224,
0004.png,SHITOMASI,1333,0.00860915,1,120,0,120,0,4,0,SIFT,0.0127245,0.0213336,MAT_BF,DES_HOG,SEL_KNN,103,0.000125339,0.021459,
0005.png,SHITOMASI,1284,0.00887057,1,113,0,113,0,4,0,SIFT,0.0125125,0.0213831,MAT_BF,DES_HOG,SEL_KNN,99,0.000123613,0.0215067,
0006.png,SHITOMASI,1322,0.0089214,1,114,0,114,0,4,0,SIFT,0.0118001,0.0207214,MAT_BF,DES_HOG,SEL_KNN,101,0.000115133,0.0208366,
0007.png,SHITOMASI,1366,0.00906027,1,123,0,123,0,4,0,SIFT,0.0142815,0.0233418,MAT_BF,DES_HOG,SEL_KNN,96,0.00014686,0.0234886,
0008.png,SHITOMASI,1389,0.00910476,1,111,0,111,0,4,0,SIFT,0.0128326,0.0219374,MAT_BF,DES_HOG,SEL_KNN,106,0.000121993,0.0220594,
0009.png,SHITOMASI,1339,0.00879105,1,112,0,112,0,4,0,SIFT,0.0118843,0.0206754,MAT_BF,DES_HOG,SEL_KNN,97,0.000115782,0.0207911,
cumulated sum,,13423,,,1179,,1179,,,,,,,,,,927,,,
average values,,,0.00904322,,,,,0,4,0,,0.0128401,0.0218834,,,,,0.000118781,0.0220021,
