imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SHITOMASI,1370,0.00901181,1,125,0,125,0,4,0,SURF,0.0757899,0.0848017,,,,0,0,0.0848017,
0001.png,SHITOMASI,1301,0.0121698,1,118,0,118,0,4,0,SURF,0.000906448,0.0130762,MAT_BF,DES_HOG,SEL_KNN,59,8.9862e-05,0.0131661,
0002.png,SHITOMASI,1361,0.0091201,1,123,0,123,0,4,0,SURF,0.000907246,0.0100273,MAT_BF,DES_HOG,SEL_KNN,57,9.3805e-05,0.0101212,
0003.png,SHITOMASI,1358,0.00847067,1,120,0,120,0,4,0,SURF,0.000839639,0.00931031,MAT_BF,DES_HOG,SEL_KNN,49,8.956e-05,0.00939987,
0004.png,SHITOMASI,1333,0.00854399,1,120,0,120,0,4,0,SURF,0.00086837,0.00941236,MAT_BF,DES_HOG,SEL_KNN,59,8.6655e-05,0.00949902,
0005.png,SHITOMASI,1284,0.00848735,1,113,0,113,0,4,0,SURF,0.000829165,0.00931651,MAT_BF,DES_HOG,SEL_KNN,55,8.9416e-05,0.00940593,
0006.png,SHITOMASI,1322,0.00854775,1,114,0,114,0,4,0,SURF,0.000889347,0.00943709,MAT_BF,DES_HOG,SEL_KNN,51,8.1204e-05,0.0095183,
0007.png,SHITOMASI,1366,0.00878916,1,123,0,123,0,4,0,SURF,0.000933892,0.00972305,MAT_BF,DES_HOG,SEL_KNN,57,8.8999e-05,0.00981205,
0008.png,SHITOMASI,1389,0.00998775,1,111,0,111,0,4,0,SURF,0.000963228,0.010951,MAT_BF,DES_HOG,SEL_KNN,56,9.5229e-05,0.0110462,
0009.png,SHITOMASI,1339,0.00942286,1,112,0,112,0,4,0,SURF,0.000799116,0.010222,MAT_BF,DES_HOG,SEL_KNN,53,8.3621e-05,0.0103056,
cumulated sum,,13423,,,1179,,1179,,,,,,,,,,496,,,
average values,,,0.00925512,,,,,0,4,0,,0.00837263,0.0176278,,,,,7.98351e-05,0.0177076,
