imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SIFT,1438,0.0852117,1,138,0,138,0.046207,4.98471,35.1614,AKAZE,0,0.0852117,,,,0,0,0.0852117,
0001.png,SIFT,1371,0.0857069,1,132,0,132,0.0460756,5.0898,38.1058,AKAZE,0,0.0857069,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0857069,
0002.png,SIFT,1380,0.0939732,1,124,0,124,0.0445329,4.93926,36.2424,AKAZE,0,0.0939732,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0939732,
0003.png,SIFT,1335,0.0858975,1,137,0,137,0.0463294,4.73122,27.4604,AKAZE,0,0.0858975,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0858975,
0004.png,SIFT,1305,0.0847617,1,134,0,134,0.0468642,4.71959,30.3653,AKAZE,0,0.0847617,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0847617,
0005.png,SIFT,1370,0.084555,1,140,0,140,0.0461937,4.68397,31.0976,AKAZE,0,0.084555,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.084555,
0006.png,SIFT,1396,0.0859204,1,137,0,137,0.0479554,5.40797,42.4277,AKAZE,0,0.0859204,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0859204,
0007.png,SIFT,1382,0.0855563,1,148,0,148,0.048658,4.62187,26.4553,AKAZE,0,0.0855563,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0855563,
0008.png,SIFT,1463,0.0845003,1,159,0,159,0.0465245,5.51997,44.4892,AKAZE,0,0.0845003,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0845003,
0009.png,SIFT,1422,0.0851062,1,137,0,137,0.0496661,5.62509,44.638,AKAZE,0,0.0851062,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0851062,
cumulated sum,,13862,,,1386,,1386,,,,,,,,,,-9,,,
average values,,,0.0861189,,,,,0.0469007,5.03235,35.6443,,0,0.0861189,,,,,0,0.0861189,
