imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SIFT,1438,0.0817912,1,138,0,138,0.046207,4.98471,35.1614,BRIEF,0.000600928,0.0823921,,,,0,0,0.0823921,
0001.png,SIFT,1371,0.0858206,1,132,0,132,0.0460756,5.0898,38.1058,BRIEF,0.000585473,0.086406,MAT_BF,DES_BINARY,SEL_KNN,86,0.00018395,0.08659,
0002.png,SIFT,1380,0.0928168,1,124,0,124,0.0445329,4.93926,36.2424,BRIEF,0.000556527,0.0933734,MAT_BF,DES_BINARY,SEL_KNN,78,0.000187553,0.0935609,
0003.png,SIFT,1335,0.0838677,1,137,0,137,0.0463294,4.73122,27.4604,BRIEF,0.000598063,0.0844657,MAT_BF,DES_BINARY,SEL_KNN,76,0.000174694,0.0846404,
0004.png,SIFT,1305,0.0834899,1,134,0,134,0.0468642,4.71959,30.3653,BRIEF,0.000584616,0.0840745,MAT_BF,DES_BINARY,SEL_KNN,85,0.000180829,0.0842553,
0005.png,SIFT,1370,0.0832746,1,140,0,140,0.0461937,4.68397,31.0976,BRIEF,0.000615034,0.0838897,MAT_BF,DES_BINARY,SEL_KNN,69,0.00017857,0.0840682,
0006.png,SIFT,1396,0.0847491,1,137,0,137,0.0479554,5.40797,42.4277,BRIEF,0.00059808,0.0853472,MAT_BF,DES_BINARY,SEL_KNN,74,0.000183235,0.0855304,
0007.png,SIFT,1382,0.0851338,1,148,0,148,0.048658,4.62187,26.4553,BRIEF,0.000633287,0.0857671,MAT_BF,DES_BINARY,SEL_KNN,76,0.000205521,0.0859726,
0008.png,SIFT,1463,0.0856926,1,159,0,159,0.0465245,5.51997,44.4892,BRIEF,0.000658636,0.0863513,MAT_BF,DES_BINARY,SEL_KNN,70,0.000205935,0.0865572,
0009.png,SIFT,1422,0.0857143,1,137,0,137,0.0496661,5.62509,44.638,BRIEF,0.000596408,0.0863107,MAT_BF,DES_BINARY,SEL_KNN,88,0.000199437,0.0865102,
cumulated sum,,13862,,,1386,,1386,,,,,,,,,,702,,,
average values,,,0.0852351,,,,,0.0469007,5.03235,35.6443,,0.000602705,0.0858378,,,,,0.000169972,0.0860077,
