imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SIFT,1438,0.0839612,1,138,0,138,0.046207,4.98471,35.1614,BRISK,0.0012484,0.0852096,,,,0,0,0.0852096,
0001.png,SIFT,1371,0.0840063,1,132,0,132,0.0460756,5.0898,38.1058,BRISK,0.00121061,0.0852169,MAT_BF,DES_BINARY,SEL_KNN,64,0.000283889,0.0855008,
0002.png,SIFT,1380,0.0841107,1,124,0,124,0.0445329,4.93926,36.2424,BRISK,0.00115749,0.0852682,MAT_BF,DES_BINARY,SEL_KNN,66,0.000271294,0.0855395,
0003.png,SIFT,1335,0.0834442,1,137,0,137,0.0463294,4.73122,27.4604,BRISK,0.00124763,0.0846918,MAT_BF,DES_BINARY,SEL_KNN,62,0.000257681,0.0849495,
0004.png,SIFT,1305,0.0820432,1,134,0,134,0.0468642,4.71959,30.3653,BRISK,0.00128751,0.0833307,MAT_BF,DES_BINARY,SEL_KNN,66,0.000264624,0.0835953,
0005.png,SIFT,1370,0.0820266,1,140,0,140,0.0461937,4.68397,31.0976,BRISK,0.00127724,0.0833038,MAT_BF,DES_BINARY,SEL_KNN,59,0.000213124,0.0835169,
0006.png,SIFT,1396,0.0817035,1,137,0,137,0.0479554,5.40797,42.4277,BRISK,0.0012443,0.0829478,MAT_BF,DES_BINARY,SEL_KNN,64,0.000235437,0.0831833,
0007.png,SIFT,1382,0.0818947,1,148,0,148,0.048658,4.62187,26.4553,BRISK,0.00133248,0.0832272,MAT_BF,DES_BINARY,SEL_KNN,64,0.000260377,0.0834876,
0008.png,SIFT,1463,0.0830562,1,159,0,159,0.0465245,5.51997,44.4892,BRISK,0.00141935,0.0844755,MAT_BF,DES_BINARY,SEL_KNN,67,0.000295151,0.0847707,
0009.png,SIFT,1422,0.0814811,1,137,0,137,0.0496661,5.62509,44.638,BRISK,0.00126866,0.0827497,MAT_BF,DES_BINARY,SEL_KNN,80,0.000317169,0.0830669,
cumulated sum,,13862,,,1386,,1386,,,,,,,,,,592,,,
average values,,,0.0827728,,,,,0.0469007,5.03235,35.6443,,0.00126937,0.0840421,,,,,0.000239875,0.084282,
