imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SIFT,1438,0.0854036,1,138,0,138,0.046207,4.98471,35.1614,FREAK,0.0312725,0.116676,,,,0,0,0.116676,
0001.png,SIFT,1371,0.0831727,1,132,0,132,0.0460756,5.0898,38.1058,FREAK,0.0354166,0.118589,MAT_BF,DES_BINARY,SEL_KNN,65,0.000241738,0.118831,
0002.png,SIFT,1380,0.082629,1,124,0,124,0.0445329,4.93926,36.2424,FREAK,0.0307893,0.113418,MAT_BF,DES_BINARY,SEL_KNN,72,0.000256323,0.113675,
0003.png,SIFT,1335,0.0825022,1,137,0,137,0.0463294,4.73122,27.4604,FREAK,0.031221,0.113723,MAT_BF,DES_BINARY,SEL_KNN,64,0.000278974,0.114002,
0004.png,SIFT,1305,0.0837257,1,134,0,134,0.0468642,4.71959,30.3653,FREAK,0.0310807,0.114806,MAT_BF,DES_BINARY,SEL_KNN,66,0.000280318,0.115087,
0005.png,SIFT,1370,0.0816078,1,140,0,140,0.0461937,4.68397,31.0976,FREAK,0.0300136,0.111621,MAT_BF,DES_BINARY,SEL_KNN,59,0.000290331,0.111912,
0006.png,SIFT,1396,0.0831015,1,137,0,137,0.0479554,5.40797,42.4277,FREAK,0.0308353,0.113937,MAT_BF,DES_BINARY,SEL_KNN,59,0.000280095,0.114217,
0007.png,SIFT,1382,0.083133,1,148,0,148,0.048658,4.62187,26.4553,FREAK,0.0305462,0.113679,MAT_BF,DES_BINARY,SEL_KNN,64,0.00024786,0.113927,
0008.png,SIFT,1463,0.0824759,1,159,0,159,0.0465245,5.51997,44.4892,FREAK,0.0304251,0.112901,MAT_BF,DES_BINARY,SEL_KNN,65,0.000322675,0.113224,
0009.png,SIFT,1422,0.0827571,1,137,0,137,0.0496661,5.62509,44.638,FREAK,0.0307431,0.1135,MAT_BF,DES_BINARY,SEL_KNN,79,0.000253027,0.113753,
cumulated sum,,13862,,,1386,,1386,,,,,,,,,,593,,,
average values,,,0.0830509,,,,,0.0469007,5.03235,35.6443,,0.0312343,0.114285,,,,,0.000245134,0.11453,
