imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SIFT,1438,0.08259,1,138,0,138,0.046207,4.98471,35.1614,KAZE,0,0.08259,,,,0,0,0.08259,
0001.png,SIFT,1371,0.0860444,1,132,0,132,0.0460756,5.0898,38.1058,KAZE,0,0.0860444,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0860444,
0002.png,SIFT,1380,0.0945796,1,124,0,124,0.0445329,4.93926,36.2424,KAZE,0,0.0945796,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0945796,
0003.png,SIFT,1335,0.0840829,1,137,0,137,0.0463294,4.73122,27.4604,KAZE,0,0.0840829,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0840829,
0004.png,SIFT,1305,0.0845855,1,134,0,134,0.0468642,4.71959,30.3653,KAZE,0,0.0845855,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0845855,
0005.png,SIFT,1370,0.0847129,1,140,0,140,0.0461937,4.68397,31.0976,KAZE,0,0.0847129,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0847129,
0006.png,SIFT,1396,0.0839722,1,137,0,137,0.0479554,5.40797,42.4277,KAZE,0,0.0839722,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0839722,
0007.png,SIFT,1382,0.0861249,1,148,0,148,0.048658,4.62187,26.4553,KAZE,0,0.0861249,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0861249,
0008.png,SIFT,1463,0.0848944,1,159,0,159,0.0465245,5.51997,44.4892,KAZE,0,0.0848944,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0848944,
0009.png,SIFT,1422,0.0845381,1,137,0,137,0.0496661,5.62509,44.638,KAZE,0,0.0845381,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0845381,
cumulated sum,,13862,,,1386,,1386,,,,,,,,,,-9,,,
average values,,,0.0856125,,,,,0.0469007,5.03235,35.6443,,0,0.0856125,,,,,0,0.0856125,
