imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SIFT,1438,0.084463,1,138,0,138,0.046207,4.98471,35.1614,ORB,0,0.084463,,,,0,0,0.084463,
0001.png,SIFT,1371,0.0853181,1,132,0,132,0.0460756,5.0898,38.1058,ORB,0,0.0853181,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0853181,
0002.png,SIFT,1380,0.0942568,1,124,0,124,0.0445329,4.93926,36.2424,ORB,0,0.0942568,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0942568,
0003.png,SIFT,1335,0.0843235,1,137,0,137,0.0463294,4.73122,27.4604,ORB,0,0.0843235,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0843235,
0004.png,SIFT,1305,0.0857255,1,134,0,134,0.0468642,4.71959,30.3653,ORB,0,0.0857255,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0857255,
0005.png,SIFT,1370,0.0836163,1,140,0,140,0.0461937,4.68397,31.0976,ORB,0,0.0836163,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0836163,
0006.png,SIFT,1396,0.0837223,1,137,0,137,0.0479554,5.40797,42.4277,ORB,0,0.0837223,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0837223,
0007.png,SIFT,1382,0.0868339,1,148,0,148,0.048658,4.62187,26.4553,ORB,0,0.0868339,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0868339,
0008.png,SIFT,1463,0.0866513,1,159,0,159,0.0465245,5.51997,44.4892,ORB,0,0.0866513,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0866513,
0009.png,SIFT,1422,0.084355,1,137,0,137,0.0496661,5.62509,44.638,ORB,0,0.084355,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.084355,
cumulated sum,,13862,,,1386,,1386,,,,,,,,,,-9,,,
average values,,,0.0859266,,,,,0.0469007,5.03235,35.6443,,0,0.0859266,,,,,0,0.0859266,
