imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SIFT,1438,0.0844271,1,138,0,138,0.046207,4.98471,35.1614,SIFT,0.0642664,0.148693,,,,0,0,0.148693,
0001.png,SIFT,1371,0.0775921,1,132,0,132,0.0460756,5.0898,38.1058,SIFT,0.0652913,0.142883,MAT_BF,DES_HOG,SEL_KNN,82,0.00020989,0.143093,
0002.png,SIFT,1380,0.0742536,1,124,0,124,0.0445329,4.93926,36.2424,SIFT,0.0638307,0.138084,MAT_BF,DES_HOG,SEL_KNN,81,0.00020745,0.138292,
0003.png,SIFT,1335,0.0704192,1,137,0,137,0.0463294,4.73122,27.4604,SIFT,0.0653268,0.135746,MAT_BF,DES_HOG,SEL_KNN,85,0.000206957,0.135953,
0004.png,SIFT,1305,0.0710591,1,134,0,134,0.0468642,4.71959,30.3653,SIFT,0.0649929,0.136052,MAT_BF,DES_HOG,SEL_KNN,93,0.000252585,0.136305,
0005.png,SIFT,1370,0.0710598,1,140,0,140,0.0461937,4.68397,31.0976,SIFT,0.0649474,0.136007,MAT_BF,DES_HOG,SEL_KNN,90,0.000203184,0.13621,
0006.png,SIFT,1396,0.0707282,1,137,0,137,0.0479554,5.40797,42.4277,SIFT,0.0652156,0.135944,MAT_BF,DES_HOG,SEL_KNN,81,0.000227732,0.136172,
0007.png,SIFT,1382,0.0709365,1,148,0,148,0.048658,4.62187,26.4553,SIFT,0.0655982,0.136535,MAT_BF,DES_HOG,SEL_KNN,82,0.000218266,0.136753,
0008.png,SIFT,1463,0.0718288,1,159,0,159,0.0465245,5.51997,44.4892,SIFT,0.065757,0.137586,MAT_BF,DES_HOG,SEL_KNN,102,0.000233255,0.137819,
0009.png,SIFT,1422,0.0709166,1,137,0,137,0.0496661,5.62509,44.638,SIFT,0.0651094,0.136026,MAT_BF,DES_HOG,SEL_KNN,104,0.000253208,0.136279,
cumulated sum,,13862,,,1386,,1386,,,,,,,,,,800,,,
average values,,,0.0733221,,,,,0.0469007,5.03235,35.6443,,0.0650336,0.138356,,,,,0.000201253,0.138557,
